vartype,varval,varval_text_comb,code_plus,d_code_plus,text_plus,d_text_plus,nat_ver
COMPLEX,01C01,Neurological complication,A5980,,Trichomoniasis of other sites,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,A5990,,"Trichomoniasis, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,B3740,,Candidiasis of other urogenital sites,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,E1040,,Insulin-dependent diabetes mellitus  with neurological complications,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,E1140,,Non-insulin-dependent diabetes mellitus  with neurological complications,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,E1240,,Malnutrition-related diabetes mellitus  with neurological complications,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,E1340,,Other specified diabetes mellitus  with neurological complications,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,E1440,,Unspecified diabetes mellitus  with neurological complications,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8000,,Spastic cerebral palsy,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8010,,Spastic diplegia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8020,,Infantile hemiplegia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8030,,Dyskinetic cerebral palsy,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8040,,Ataxic cerebral palsy,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8080,,Other infantile cerebral palsy,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8090,,"Infantile cerebral palsy, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8100,,Flaccid hemiplegia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8110,,Spastic hemiplegia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8190,,"Hemiplegia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8200,,Flaccid paraplegia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8210,,Spastic paraplegia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8220,,"Paraplegia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8230,,Flaccid tetraplegia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8240,,Spastic tetraplegia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8250,,"Tetraplegia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8300,,Diplegia of upper limbs,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8310,,Monoplegia of lower limb,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G8320,,Monoplegia of upper limb,,est/swe/lat/ice/den/fin/nor
