compl,inclprop,varval_text_comb,nat_ver
01C01,,Neurological complication,est/swe/lat/ice/den/fin/nor
01C02,,Spinal injury at neck level,est/swe/lat/ice/den/fin/nor
01C03,,Spinal injury at thorax level,est/swe/lat/ice/den/fin/nor
01C04,,Spinal injury at lumbal level,est/swe/lat/ice/den/fin/nor
01C05,,"Spinal injury, sacral area and cauda equina",est/swe/lat/ice/den/fin/nor
01C06,,"Spinal injury, level undefined",est/swe/lat/ice/den/fin/nor
01C07,,Malignant neoplasm of brain,est/swe/lat/ice/den/fin/nor
01C08,,Malignacy of nervous system,est/swe/lat/ice/den/fin/nor
01C11,,Complicated hydrocephalus,est/swe/lat/ice/den/fin/nor
01C12,,Spinal level dysfunction,est/swe/lat/ice/den/fin/nor
01C13,,Multiple sclerosis,est/swe/lat/ice/den/fin/nor
01C14,,Intracranial hemorrhage,est/swe/lat/ice/den/fin/nor
01C15,,Occlusion of precerebral artery,est/swe/lat/ice/den/fin/nor
01C16,,"CVA, unspecified",est/swe/lat/ice/den/fin/nor
01C17,,H. zoster central nervous system compl.,est/swe/lat/ice/den/fin/nor
01C21,,Tuberculosis of central nervous system,est/swe/lat/ice/den/fin/nor
01C22,,Acute infective polyneuropathy,est/swe/lat/ice/den/fin/nor
01C23,,TB meningitis,est/swe/lat/ice/den/fin/nor
01C25,,Meningitis,est/swe/lat/ice/den/fin/nor
01C27,,Other cerebrovascular disease,est/swe/lat/ice/den/fin/nor
01C28,,Epilepsy,est/swe/lat/ice/den/fin/nor
01C29,,Serious injury of skull or brain,est/swe/lat/ice/den/fin/nor
01C30,,Anoxic brain damage,est/swe/lat/ice/den/fin/nor
01C31,,Serious muscle disorder,est/swe/lat/ice/den/fin/nor
01C32,,Cerebrospinal fluid leak,est/swe/lat/ice/den/fin/nor
01C35,,CNS abscess,est/swe/lat/ice/den/fin/nor
01C36,,Other meningitis,est/swe/lat/ice/den/fin/nor
01C37,,Coma or disorientation,est/swe/lat/ice/den/fin/nor
01C38,,Spina bifida,est/swe/lat/ice/den/fin/nor
01C39,,Convulsions,est/swe/lat/ice/den/fin/nor
01C40,,Nerve root or plexus injury,est/swe/lat/ice/den/fin/nor
01C41,,Non-bacterial meningoencephalitis,est/swe/lat/ice/den/fin/nor
01C42,,Complication of intracranial shunt,est/swe/lat/ice/fin/nor
01C80,,Multiple cranial nerve palsies in sarcoidosis (D86.8+),est/swe/lat/ice/den/fin/nor
01C81,,Mechanical complication of implanted electronic stimulator of nervous system,est/swe/lat/ice/den/fin/nor
01G01,,Neurological complication- major CC,est/swe/lat/ice/den/fin/nor
01G02,,Spinal injury at neck level- major CC,est/swe/lat/ice/den/fin/nor
01G03,,Spinal injury at thorax level- major CC,est/swe/lat/ice/den/fin/nor
01G04,,Spinal injury at lumbal level- major CC,est/swe/lat/ice/den/fin/nor
01G05,,"Spinal injury, sacral area and cauda equina- major CC",est/swe/lat/ice/den/fin/nor
01G06,,"Spinal injury, level undefined- major CC",est/swe/lat/ice/den/fin/nor
01G07,,Malignant neoplasm of brain- major CC,est/swe/lat/ice/den/fin/nor
01G08,,Malignacy of nervous system- major CC,est/swe/lat/ice/den/fin/nor
