code_nat,d_code_nat,text_nat,d_text_nat,code_plus,d_code_plus,text_plus,d_text_plus,ast,country
+A3290,,Communicating - recieving messages independently,,+A3290,,Communicating - recieving messages independently,,N,den
+A3291,,Communicating - recieving messages modified independently,,+A3291,,Communicating - recieving messages modified independently,,N,den
+A3292,,Communicating - recieving messages with mild to moderate dependen,,+A3292,,Communicating - recieving messages with mild to moderate dependen,,N,den
+A3293,,Communicating - recieving messages with severe dependency,,+A3293,,Communicating - recieving messages with severe dependency,,N,den
+A3294,,Communication - recieving messages with total dependency,,+A3294,,Communication - recieving messages with total dependency,,N,den
+A3490,,Communicating - producing messages independently,,+A3490,,Communicating - producing messages independently,,N,den
+A3491,,Communicating - producing messages modified independently,,+A3491,,Communicating - producing messages modified independently,,N,den
+A3492,,Communicating - producing messages with mild to moderate dependen,,+A3492,,Communicating - producing messages with mild to moderate dependen,,N,den
+A3493,,Communicating - producing messages with severe dependency,,+A3493,,Communicating - producing messages with severe dependency,,N,den
+A3494,,Communicating - producing messages with total dependency,,+A3494,,Communicating - producing messages with total dependency,,N,den
+A41A0,,Lay down independently,,+A41A0,,Lay down independently,,N,den
+A41A1,,Lay down modified independently,,+A41A1,,Lay down modified independently,,N,den
+A41A2,,Lay down with mild to moderate dependency,,+A41A2,,Lay down with mild to moderate dependency,,N,den
+A41A3,,Lay down with severe dependency,,+A41A3,,Lay down with severe dependency,,N,den
+A41A4,,Lay down with  total dependency,,+A41A4,,Lay down with  total dependency,,N,den
+A41D0,,Sitting independently,,+A41D0,,Sitting independently,,N,den
+A41D1,,Sitting modified independently,,+A41D1,,Sitting modified independently,,N,den
+A41D2,,Sitting with mild to moderate dependency,,+A41D2,,Sitting with mild to moderate dependency,,N,den
+A41D3,,Sitting with severe dependency,,+A41D3,,Sitting with severe dependency,,N,den
+A41D4,,Sitting with total dependency,,+A41D4,,Sitting with total dependency,,N,den
+A4200,,Transferring oneself indipendently,,+A4200,,Transferring oneself indipendently,,N,den
+A4201,,Transferring oneself modified independently,,+A4201,,Transferring oneself modified independently,,N,den
+A4202,,Transferring oneself with mild to moderate dependency,,+A4202,,Transferring oneself with mild to moderate dependency,,N,den
+A4203,,Transferring oneself with severe dependency,,+A4203,,Transferring oneself with severe dependency,,N,den
+A4204,,Transferring oneself with total dependency,,+A4204,,Transferring oneself with total dependency,,N,den
+A4400,,"Fine motor skills of hand, no activity limitation",,+A4400,,"Fine motor skills of hand, no activity limitation",,N,den
+A4401,,"Fine motor skills of hand, slight activity limitation",,+A4401,,"Fine motor skills of hand, slight activity limitation",,N,den
