code_plus,d_code_plus,text_plus,d_text_plus,vartype,varval,prop_0,varval_text_comb,nat_ver
+A3290,,Communicating - recieving messages independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A3290,,Communicating - recieving messages independently,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A3291,,Communicating - recieving messages modified independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A3291,,Communicating - recieving messages modified independently,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A3292,,Communicating - recieving messages with mild to moderate dependen,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A3292,,Communicating - recieving messages with mild to moderate dependen,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A3293,,Communicating - recieving messages with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A3293,,Communicating - recieving messages with severe dependency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A3294,,Communication - recieving messages with total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A3294,,Communication - recieving messages with total dependency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A3490,,Communicating - producing messages independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A3490,,Communicating - producing messages independently,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A3491,,Communicating - producing messages modified independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A3491,,Communicating - producing messages modified independently,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A3492,,Communicating - producing messages with mild to moderate dependen,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A3492,,Communicating - producing messages with mild to moderate dependen,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A3493,,Communicating - producing messages with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A3493,,Communicating - producing messages with severe dependency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A3494,,Communicating - producing messages with total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/swe/ice/den/fin
+A3494,,Communicating - producing messages with total dependency,,MDC,99,False,Unspecific or erroneous information,est/swe/ice/den/fin
+A41A0,,Lay down independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A41A0,,Lay down independently,,MDC,99,False,Unspecific or erroneous information,swe/den
+A41A1,,Lay down modified independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A41A1,,Lay down modified independently,,MDC,99,False,Unspecific or erroneous information,swe/den
+A41A2,,Lay down with mild to moderate dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A41A2,,Lay down with mild to moderate dependency,,DGPROP,23F51,False,Dependency in transferring oneself,swe/den
+A41A2,,Lay down with mild to moderate dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A41A3,,Lay down with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A41A3,,Lay down with severe dependency,,DGPROP,23F51,False,Dependency in transferring oneself,swe/den
+A41A3,,Lay down with severe dependency,,DGPROP,23F52,False,Severe dependency in transferring oneself,swe/den
+A41A3,,Lay down with severe dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A41A4,,Lay down with  total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A41A4,,Lay down with  total dependency,,DGPROP,23F51,False,Dependency in transferring oneself,swe/den
+A41A4,,Lay down with  total dependency,,DGPROP,23F52,False,Severe dependency in transferring oneself,swe/den
+A41A4,,Lay down with  total dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A41D0,,Sitting independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A41D0,,Sitting independently,,MDC,99,False,Unspecific or erroneous information,swe/den
+A41D1,,Sitting modified independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A41D1,,Sitting modified independently,,MDC,99,False,Unspecific or erroneous information,swe/den
+A41D2,,Sitting with mild to moderate dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A41D2,,Sitting with mild to moderate dependency,,DGPROP,23F51,False,Dependency in transferring oneself,swe/den
+A41D2,,Sitting with mild to moderate dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A41D3,,Sitting with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A41D3,,Sitting with severe dependency,,DGPROP,23F51,False,Dependency in transferring oneself,swe/den
+A41D3,,Sitting with severe dependency,,DGPROP,23F52,False,Severe dependency in transferring oneself,swe/den
+A41D3,,Sitting with severe dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A41D4,,Sitting with total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A41D4,,Sitting with total dependency,,DGPROP,23F51,False,Dependency in transferring oneself,swe/den
+A41D4,,Sitting with total dependency,,DGPROP,23F52,False,Severe dependency in transferring oneself,swe/den
+A41D4,,Sitting with total dependency,,MDC,99,False,Unspecific or erroneous information,swe/den
+A4200,,Transferring oneself indipendently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A4200,,Transferring oneself indipendently,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A4201,,Transferring oneself modified independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A4201,,Transferring oneself modified independently,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A4202,,Transferring oneself with mild to moderate dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A4202,,Transferring oneself with mild to moderate dependency,,DGPROP,23F51,False,Dependency in transferring oneself,est/ice/den/fin
+A4202,,Transferring oneself with mild to moderate dependency,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A4203,,Transferring oneself with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A4203,,Transferring oneself with severe dependency,,DGPROP,23F51,False,Dependency in transferring oneself,est/ice/den/fin
+A4203,,Transferring oneself with severe dependency,,DGPROP,23F52,False,Severe dependency in transferring oneself,est/ice/den/fin
+A4203,,Transferring oneself with severe dependency,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A4204,,Transferring oneself with total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A4204,,Transferring oneself with total dependency,,DGPROP,23F51,False,Dependency in transferring oneself,est/ice/den/fin
+A4204,,Transferring oneself with total dependency,,DGPROP,23F52,False,Severe dependency in transferring oneself,est/ice/den/fin
+A4204,,Transferring oneself with total dependency,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A4400,,"Fine motor skills of hand, no activity limitation",,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A4400,,"Fine motor skills of hand, no activity limitation",,MDC,99,False,Unspecific or erroneous information,swe/den
+A4401,,"Fine motor skills of hand, slight activity limitation",,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A4401,,"Fine motor skills of hand, slight activity limitation",,MDC,99,False,Unspecific or erroneous information,swe/den
+A4402,,"Fine motor skills of hand, moderate activity limitation",,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A4402,,"Fine motor skills of hand, moderate activity limitation",,MDC,99,False,Unspecific or erroneous information,swe/den
+A4403,,"Fine motor skills of hand, severe activity limitation",,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A4403,,"Fine motor skills of hand, severe activity limitation",,DGPROP,23F11,False,Dependency in caring for body parts,swe/den
+A4403,,"Fine motor skills of hand, severe activity limitation",,MDC,99,False,Unspecific or erroneous information,swe/den
+A4404,,"Fine motor skills of hand, total activity limitation",,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
+A4404,,"Fine motor skills of hand, total activity limitation",,DGPROP,23F11,False,Dependency in caring for body parts,swe/den
+A4404,,"Fine motor skills of hand, total activity limitation",,MDC,99,False,Unspecific or erroneous information,swe/den
+A4500,,Walking independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A4500,,Walking independently,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A4501,,Walking modified independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A4501,,Walking modified independently,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A4502,,Walking with mild to moderate dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A4502,,Walking with mild to moderate dependency,,DGPROP,23F61,False,Dependency in walking,est/ice/den/fin
+A4502,,Walking with mild to moderate dependency,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A4503,,Walking with severe dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A4503,,Walking with severe dependency,,DGPROP,23F61,False,Dependency in walking,est/ice/den/fin
+A4503,,Walking with severe dependency,,DGPROP,23F62,False,Severe dependency in walking,est/ice/den/fin
+A4503,,Walking with severe dependency,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A4504,,Walking with total dependency,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,est/ice/den/fin
+A4504,,Walking with total dependency,,DGPROP,23F61,False,Dependency in walking,est/ice/den/fin
+A4504,,Walking with total dependency,,DGPROP,23F62,False,Severe dependency in walking,est/ice/den/fin
+A4504,,Walking with total dependency,,MDC,99,False,Unspecific or erroneous information,est/ice/den/fin
+A45A0,,Walking short distance independently,,DGCAT,99M00,False,Code not acceptable as principal diagnosis,swe/den
