code_plus,text_plus,ast,nat_ver
_A02AA,Magnesium compounds,,
_A02AB,Aluminium compounds,,
_A02AC,Calcium compounds,,
_A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",,
_A02AF,Antacids with antiflatulents,,
_A02AG,Antacids with antispasmodics,,
_A02AH,Antacids with sodium bicarbonate,,
_A02AX,"Antacids, other combinations",,
_A02BA,H2-receptor antagonists,,
_A02BB,Prostaglandins,,
_A02BC,Proton pump inhibitors,,
_A02BD,Combinations for eradication of Helicobacter pylori,,
_A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),,
_A03AA,"Synthetic anticholinergics, esters with tertiary amino group",,
_A03AB,"Synthetic anticholinergics, quaternary ammonium compounds",,
_A03AC,"Synthetic antispasmodics, amides with tertiary amines",,
_A03AD,Papaverine and derivatives,,
_A03AE,Drugs acting on serotonin receptors,,
_A03AX,Other drugs for functional bowel disorders,,
_A03BA,"Belladonna alkaloids, tertiary amines",,
_A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",,
_A03CA,Synthetic anticholinergic agents in combination with psycholeptics,,
_A03CB,Belladonna and derivatives in combination with psycholeptics,,
_A03CC,Other antispasmodics in combination with psycholeptics,,
_A03DA,Synthetic anticholinergic agents in combination with analgesics,,
_A03DB,Belladonna and derivatives in combination with analgesics,,
_A03DC,Other antispasmodics in combination with analgesics,,
_A03EA,"Antispasmodics, psycholeptics and analgesics in combination",,
_A03ED,Antispasmodics in combination with other drugs,,
_A03FA,Propulsives,,
_A04AA,Serotonin (5HT3) antagonists,,
_A04AD,Other antiemetics,,
_A05AA,Bile acid preparations,,
_A05AB,Preparations for biliary tract therapy,,
_A05AX,Other drugs for bile therapy,,
_A05BA,Liver therapy,,
_A06AA,"Softeners, emollients",,
_A06AB,Contact laxatives,,
_A06AC,Bulk producers,,
_A06AD,Osmotically acting laxatives,,
_A06AG,Enemas,,
_A06AX,Other laxatives,,
_A07AA,Antibiotics,,
_A07AB,Sulfonamides,,
_A07AC,Imidazole derivatives,,
_A07AX,Other intestinal antiinfectives,,
_A07BA,Charcoal preparations,,
_A07BB,Bismuth preparations,,
_A07BC,Other intestinal adsorbents,,
_A07CA,Oral rehydration salt formulations,,
_A07DA,Antipropulsives,,
_A07EA,Corticosteroids acting locally,,
_A07EB,"Antiallergic agents, excl. corticosteroids",,
_A07EC,Aminosalicylic acid and similar agents,,
_A07FA,Antidiarrheal microorganisms,,
_A07XA,Other antidiarrheals,,
_A08AA,Centrally acting antiobesity products,,
_A08AB,Peripherally acting antiobesity products,,
_A09AA,Enzyme preparations,,
_A09AB,Acid preparations,,
_A09AC,"Enzyme and acid preparations, combinations",,
_A10AB,"Insulins and analogues, fast-acting",,
_A10AC,"Insulins and analogues, intermediate-acting",,
_A10AD,"Insulins and analogues, intermediate-acting combined with fast-acting",,
_A10AE,"Insulins and analogues, long-acting",,
_A10BA,Biguanides,,
_A10BB,"Sulfonamides, urea derivatives",,
_A10BC,Sulfonamides (heterocyclic),,
_A10BD,Combinations of oral blood glucose lowering drugs,,
_A10BF,Alpha glucosidase inhibitors,,
_A10BG,Thiazolidinediones,,
_A10BX,Other oral blood glucose lowering drugs,,
_A10XA,Aldose reductase inhibitors,,
_A11AA,Multivitamins with minerals,,
_A11AB,"Multivitamins, other combinations",,
_A11BA,"Multivitamins, plain",,
_A11CA,"Vitamin A, plain",,
_A11CB,Vitamin A and D in combination,,
_A11CC,Vitamin D and analogues,,
_A11DA,"Vitamin B1, plain",,
_A11DB,Vitamin B1 in combination with vitamin B6 and/or vitamin B12,,
_A11EA,"Vitamin B-complex, plain",,
_A11EB,Vitamin B-complex with vitamin C,,
_A11EC,Vitamin B-complex with minerals,,
_A11ED,Vitamin B-complex with anabolic steroids,,
_A11EX,"Vitamin B-complex, other combinations",,
_A11GA,"Ascorbic acid (vitamin C), plain",,
_A11GB,"Ascorbic acid (vitamin C), combinations",,
_A11HA,Other plain vitamin preparations,,
_A11JA,Combinations of vitamins,,
_A11JB,Vitamins with minerals,,
_A11JC,"Vitamins, other combinations",,
_A12AA,Calcium,,
_A12AX,"Calcium, combinations with other drugs",,
_A12BA,Potassium,,
_A12CA,Sodium,,
_A12CB,Zinc,,
_A12CC,Magnesium,,
_A12CD,Fluoride,,
_A12CE,Selenium,,
_A12CX,Other mineral products,,
_A14AA,Androstan derivatives,,
_A14AB,Estren derivatives,,
_A16AA,Amino acids and derivatives,,
_A16AB,Enzymes,,
_A16AX,Various alimentary tract and metabolism products,,
_B01AA,Vitamin K antagonists,,
_B01AB,Heparin group,,
_B01AC,Platelet aggregation inhibitors excl. heparin,,
_B01AD,Enzymes,,
_B01AE,Direct thrombin inhibitors,,
_B01AX,Other antithrombotic agents,,
_B02AA,Amino acids,,
_B02AB,Proteinase inhibitors,,
_B02BA,Vitamin K,,
_B02BB,Fibrinogen,,
_B02BC,Local hemostatics,,
_B02BD,Blood coagulation factors,,
_B02BX,Other systemic hemostatics,,
_B03AA,"Iron bivalent, oral preparations",,
_B03AB,"Iron trivalent, oral preparations",,
_B03AC,"Iron trivalent, parenteral preparations",,
_B03AD,Iron in combination with folic acid,,
_B03AE,Iron in other combinations,,
_B03BA,Vitamin B12 (cyanocobalamin and analogues),,
_B03BB,Folic acid and derivatives,,
_B03XA,Other antianemic preparations,,
_B05AA,Blood substitutes and plasma protein fractions,,
_B05BA,Solutions for parenteral nutrition,,
_B05BB,Solutions affecting the electrolyte balance,,
_B05BC,Solutions producing osmotic diuresis,,
_B05CA,Antiinfectives,,
_B05CB,Salt solutions,,
_B05CX,Other irrigating solutions,,
_B05DA,Isotonic solutions,,
_B05DB,Hypertonic solutions,,
_B05XA,Electrolyte solutions,,
_B05XB,Amino acids,,
_B05XC,Vitamins,,
_B05XX,Other i.v. solution additives,,
_B05ZA,"Hemodialytics, concentrates",,
_B05ZB,Hemofiltrates,,
_B06AA,Enzymes,,
_B06AB,Other hem products,,
_C01AA,Digitalis glycosides,,
_C01AB,Scilla glycosides,,
_C01AC,Strophantus glycosides,,
_C01AX,Other cardiac glycosides,,
_C01BA,"Antiarrhythmics, class Ia",,
_C01BB,"Antiarrhythmics, class Ib",,
_C01BC,"Antiarrhythmics, class Ic",,
_C01BD,"Antiarrhythmics, class III",,
_C01BG,Other class I antiarrhythmics,,
_C01CA,Adrenergic and dopaminergic agents,,
_C01CE,Phosphodiesterase inhibitors,,
_C01CX,Other cardiac stimulants,,
_C01DA,Organic nitrates,,
_C01DB,Quinolone vasodilators,,
_C01DX,Other vasodilators used in cardiac diseases,,
_C01EA,Prostaglandins,,
_C01EB,Other cardiac preparations,,
_C01EX,Other cardiac combination products,,
_C02AA,Rauwolfia alkaloids,,
_C02AB,Methyldopa,,
_C02AC,Imidazoline receptor agonists,,
_C02BA,Sulfonium derivatives,,
_C02BB,Secondary and tertiary amines,,
_C02BC,Bisquaternary ammonium compounds,,
_C02CA,Alpha-adrenoreceptor antagonists,,
_C02CC,Guanidine derivatives,,
_C02DA,Thiazide derivatives,,
_C02DB,Hydrazinophthalazine derivatives,,
_C02DC,Pyrimidine derivatives,,
_C02DD,Nitroferricyanide derivatives,,
_C02DG,Guanidine derivatives,,
_C02KA,"Alkaloids, excl. rauwolfia",,
_C02KB,Tyrosine hydroxylase inhibitors,,
_C02KC,MAO inhibitors,,
_C02KD,Serotonin antagonists,,
_C02KX,Other antihypertensives,,
_C02LA,Rauwolfia alkaloids and diuretics in combination,,
_C02LB,Methyldopa and diuretics in combination,,
_C02LC,Imidazoline receptor agonists in combination with diuretics,,
_C02LE,Alpha-adrenoreceptor antagonists and diuretics,,
_C02LF,Guanidine derivatives and diuretics,,
_C02LG,Hydrazinophthalazine derivatives and diuretics,,
_C02LK,"Alkaloids, excl. rauwolfia, in combination with diuretics",,
_C02LL,MAO inhibitors and diuretics,,
_C02LN,Serotonin antagonists and diuretics,,
_C02LX,Other antihypertensives and diuretics,,
_C03AA,"Thiazides, plain",,
_C03AB,Thiazides and potassium in combination,,
_C03AH,"Thiazides, combinations with psycholeptics and/or analgesics",,
_C03AX,"Thiazides, combinations with other drugs",,
_C03BA,"Sulfonamides, plain",,
_C03BB,Sulfonamides and potassium in combination,,
_C03BC,Mercurial diuretics,,
_C03BD,Xanthine derivatives,,
