dgcat,varval_text_comb,nat_ver
00M00,Code does not belong to any major diagnosis category,est/swe/lat/ice/den/fin/nor
01M01,Spinal disorders and injuries,est/swe/lat/ice/den/fin/nor
01M02,Nervous system neoplasms,est/swe/lat/ice/den/fin/nor
01M03,Degenerative nervous system disorders,est/swe/lat/ice/den/fin/nor
01M04,MS and cerebellar ataxia,est/swe/lat/ice/den/fin/nor
01M05,Specific cerebrovascular disorders except TIA,est/swe/lat/ice/den/fin/nor
01M06,Transient ischemic attack and precerebral occlusions without infarction,est/swe/lat/ice/den/fin/nor
01M07,Nonspecific cerebrovascular diseases,est/swe/lat/ice/den/fin/nor
01M08,Cranial and peripheral nerve disorders,est/swe/lat/ice/den/fin/nor
01M09,Infections except viral meningitis,est/swe/lat/ice/den/fin/nor
01M10,Viral meningitis,est/swe/lat/ice/den/fin/nor
01M12,Nontraumatic stupor or coma,est/swe/lat/ice/den/fin/nor
01M13,Seizures and headaches,est/swe/lat/ice/den/fin/nor
01M14,Injuries of the skull and the brain,est/swe/lat/ice/den/fin/nor
01M15,Concussion,est/swe/lat/ice/den/fin/nor
01M99,Other disorders of the nervous system,est/swe/lat/ice/den/fin/nor
02M01,Hyphema,est/swe/lat/ice/den/fin/nor
02M02,Acute major infections of eye,est/swe/lat/ice/den/fin/nor
02M03,Neurological disorders of eye,est/swe/lat/ice/den/fin/nor
02M99,Other disorders of the eye,est/swe/lat/ice/den/fin/nor
03M01,"Malignancies of ear, nose, mouth and throat",est/swe/lat/ice/den/fin/nor
03M02,Dysequilibrium,est/swe/lat/ice/den/fin/nor
03M03,Epistaxis,est/swe/lat/ice/den/fin/nor
03M04,Epiglottitis,est/swe/lat/ice/den/fin/nor
03M05,Otitis media and upper respiratory infection,est/swe/lat/ice/den/fin/nor
03M06,Laryngotracheitis,est/swe/lat/ice/den/fin/nor
03M07,Nasal trauma and deformity,est/swe/lat/ice/den/fin/nor
03M08,"Other ear, nose, mouth and throat diagnoses",est/swe/lat/ice/den/fin/nor
03M10,Obstructive apnoe,est/swe/lat/ice/den/fin/nor
03M99,Dental and oral diseases,est/swe/lat/ice/den/fin/nor
04M01,Pulmonary embolism,est/swe/lat/ice/den/fin/nor
04M02,Infections and inflammations of lower respiratory tract,est/swe/lat/ice/den/fin/nor
04M03,Neoplasms of respiratory system,est/swe/lat/ice/den/fin/nor
04M04,Major chest trauma,est/swe/lat/ice/den/fin/nor
04M05,Pleural effusion,est/swe/lat/ice/den/fin/nor
04M06,Pulmonary edema and respiratory failure,est/swe/lat/ice/den/fin/nor
04M07,Chronic obstructive pulmonary disease,est/swe/lat/ice/den/fin/nor
04M08,Simple pneumonia and pleurisy,est/swe/lat/ice/den/fin/nor
04M09,Interstitial lung disease,est/swe/lat/ice/den/fin/nor
04M10,Pneumothorax,est/swe/lat/ice/den/fin/nor
04M11,Bronchitis and asthma,est/swe/lat/ice/den/fin/nor
04M12,Signs and symptoms of respiratory system,est/swe/lat/ice/den/fin/nor
04M99,Other respiratory system diagnoses,est/swe/lat/ice/den/fin/nor
05M02,Acute and subacute endocarditis,est/swe/lat/ice/den/fin/nor
05M03,Heart failure and shock,est/swe/lat/ice/den/fin/nor
05M04,Deep vein thromboses,est/swe/lat/ice/den/fin/nor
05M05,Cardiac arrest,est/swe/lat/ice/den/fin/nor
