ord,id,drg_comb,rtc,icd,mdc,dgcat,pdgprop,compl,or_proc,procpro,secpro,dgprop1,dgprop2,dgprop3,dgprop4,agelim,sex,dur,disch,nat_ver
25,#00D000002,X09R,0,+,,,,,,40V62,,99X50,40X00,,,,,<1,,swe
37,#00D000003,X09R,0,+,,,,,,,,99X50,40X00,,,,,<1,,swe
43,#00D000004,X09R,0,,,,,,N,,,99X50,,,,,,<1,E,swe
50,#00D000005,Z82R,0,,,,,,,,,99X50,00X90,,,,,<1,N,swe
100,#00D000010,Z70R,1,-,,,,,,99V35,,99X50,,,,,,<1,N,swe
150,#00D000015,Z70R,1,-,,,,,,99V22,,99X50,,,,,,<1,N,swe
160,#00D0000157,Z70L,1,-,,,,,,,,99X50,,,,,,>0,N,swe
165,#00D0000164,Z70L,1,-,,,,,,,,99X50,,,,,,,E,swe
170,#00D000017,Z90R,9,+,15.0,,,,,,,99X50,,,,<0,,,,swe
250,#00D000025,Z76R,5,+,,,00P02,,,,,99X50,,,,>6574,,<1,,swe
300,#00D000030,Z75R,4,+,,,00P01,,,,,99X50,,,,<5114,,<1,,swe
350,#00D000035,Z77R,6,+,,,,,,,,99X50,,,,>45654,,<1,,swe
375,#00D000038,Z71R,8,+,,99M02,,,,,,99X50,99X35,,,,,<1,N,swe
400,#00D000040,Z71R,8,+,99.0,99M00,,,,,,99X50,,,,,,<1,,swe
410,#00D000041,Z71R,8,+,,00M00,,,,,,99X50,,,,,,<1,,swe
420,#00D000042,Z71R,8,+,,,23P07,,,,,99X50,,,,,,<1,,swe
427,#00D000039,Z71L,8,+,,99M02,,,,,,99X50,,,,,,>0,N,swe
435,#00D000043,Z71L,8,+,99.0,99M00,,,,,,99X50,,,,,,>0,,swe
442,#00D000044,Z71L,8,+,,00M00,,,,,,99X50,,,,,,>0,,swe
450,#00D000045,Z40R,0,+,99.0,99M01,,,,,,99X50,,,,,,<1,,swe
500,#00D000050,Z75R,4,+,14.0,,,,,,,99X50,,,,<4018,,<1,,swe
550,#00D000055,Z76R,5,+,14.0,,,,,,,99X50,,,,>21915,,<1,,swe
600,#00D000060,Z75R,4,+,,,,,,,,99X50,14X03,,,<4018,,<1,,swe
650,#00D000065,Z76R,5,+,,,,,,,,99X50,14X03,,,>21915,,<1,,swe
700,#00D000070,Z75R,4,+,,,,,S,14S01,,99X50,,,,<4018,,<1,,swe
750,#00D000075,Z76R,5,+,,,,,S,14S01,,99X50,,,,>21915,,<1,,swe
800,#00D000080,Z75R,4,+,13.0,,,,,,,99X50,14X01,,,<4018,,<1,,swe
850,#00D000085,Z76R,5,+,13.0,,,,,,,99X50,14X01,,,>21915,,<1,,swe
900,#00D000090,Z79R,9,+,14.0,,,,,,,99X50,14X04,14X01,,,,<1,,swe
950,#00D000095,Z79R,9,+,14.0,,,,,,,99X50,14X05,14X01,,,,<1,,swe
1000,#00D000100,Z79R,9,+,13.0,,,,,,,99X50,14X04,14X01,,,,<1,,swe
1050,#00D000105,Z79R,9,+,13.0,,,,,,,99X50,14X05,14X01,,,,<1,,swe
1200,#00D000120,Z76R,5,+,15.0,,,,,,,99X50,,,,>365,,<1,,swe
1250,#00D000125,Z71R,8,+,15.0,15M01,,,,,,99X50,,,,,,<1,,swe
1262,#00D000128,Z78R,9,+,23.0,23M04,,,,40V78,,99X50,,,,,,<1,,swe
1268,#00D000131,Z78R,9,+,,,99P78,,,40V78,,99X50,,,,,,<1,,swe
1275,#00D000129,Z83R,9,,,,,,S,99V24,,99X50,,,,,,<1,,swe
1300,#00D000130,Z78R,9,+,15.0,15M02,,,,15S02,,99X50,,,,,,<1,,swe
1350,#00D000135,Z79R,9,+,15.0,15M02,,,,,,99X50,15X40,,,,,<1,,swe
