drg_nat,drg_text_nat,drg_text_short_nat,drg_comb,drg_text_comb,drg_text_short_comb,mdc,country
001A,Kesknärvisüsteemi kasvaja intrakraniaalne operatsioon,Kesknärvisüsteemi kasvaja intrakraniaalne op,001A,Intracranial surgery for central nervous system tumor,Intracranial surgery for central nervous system tumor,1,est
001B,Muu intrakraniaalne veresoone operatsioon,Muu intrakraniaalne veresoone op,001B,Other intracranial vascular surgery,Other intracranial vascular surgery,1,est
001C,"Intrakraniaalse aneurüsmi, veresoone anomaalia või hemangioomi operatsioon","Intrakr. aneurüsmi, vere. anomaalia või hemang. op",001C,Intervention of intracranial vascular abnormality or infarction,Intervention of intracranial vascular abnormality or infarc,1,est
001D,Intrakraniaalne tserebrospinaalse šundi operatsioon,Intrakraniaalne tserebrospinaalse šundi op,001D,Intracranial cerebrospinal fluid shunt surgery,Intracranial cerebrospinal fluid shunt surgery,1,est
001E,"Muu kraniotoomia, v.a trauma korral","Muu kraniotoomia, v.a trauma korral",001E,Other craniotomy except for trauma,Other craniotomy except for trauma,1,est
002A,Kraniotoomia trauma korral,Kraniotoomia trauma korral,002A,Other craniotomy for trauma,Other craniotomy for trauma,1,est
002B,Kroonilise subduraalse hematoomi operatsioon,Kroonilise subduraalse hematoomi op,002B,Surgery of chronic subdural hematoma,Surgery of chronic subdural hematoma,1,est
003N,Stereotaktiline intrakraniaalne radioteraapia,Stereotaktiline intrakraniaalne radioteraapia,003N,Stereotactic intracranial radiotherapy,Stereotactic intracranial radiotherapy,1,est
003O,"Kraniotoomia, lühike ravi","Kraniotoomia, lühike ravi",003O,"Craniotomy, short therapy","Craniotomy, short therapy",1,est
003P,"Stereotaktiline intrakraniaalne radioteraapia,  lühike ravi","Stereotaktiline intrakraniaalne radioteraapia,  lühike ravi",003P,"Stereotactic intracranial radiotherapy, short therapy","Stereotactic intracranial radiotherapy, short therapy",1,est
004,Lülisamba ja seljaaju operatsioonid,Lülisamba ja seljaaju opid,004X,Spinal procedures,Spinal procedures,1,est
004O,"Lülisamba ja seljaaju operatsioonid, lühike ravi","Lülisamba ja seljaaju opid, lüh.ravi",004O,"Spinal procedures, short therapy","Spinal procedures, short therapy",1,est
005,Koljuvälised veresoonte operatsioonid,Koljuvälised veresoonte opid,005X,Extracranial vascular procedures,Extracranial vascular procedures,1,est
005O,"Koljuvälised veresoonte operatsioonid, lühike ravi","Koljuvälised veresoonte opid, lüh.ravi",005O,"Extracranial vascular procedures, short therapy","Extracranial vascular procedures, short therapy",1,est
006,Karpaalkanali avamine,Karpaalkanali avamine,006X,Carpal tunnel release,Carpal tunnel release,1,est
006O,"Karpaalkanali avamine, lühike ravi","Karpaalkanali avamine, lüh.ravi",006O,"Carpal tunnel release, short therapy","Carpal tunnel release, short therapy",1,est
007,Perifeersete või kraniaalnärvide või muu närvisüsteemi operatsioon kaasuvate haigustega (edaspidi kht-ga),Perif. või kr.ärvide või muu närvisüsteemi op kht-ga,007X,"Peripheral & cranial nerve & other nervous system procedures,  w CC","Peripheral & cranial nerve & other nervous system procedures,  w CC",1,est
008,"Perifeersete või kraniaalnärvide operatsioon, kht-ta","Perif. või kr.ärvide op, kht-ta",008X,"Peripheral & cranial nerve & other nervous system procedures, w/o CC","Peripheral & cranial nerve & other nervous system procedures, w/o CC",1,est
008O,"Perifeersete või kraniaalnärvide operatsioon, lühike ravi","Perif. või kr.ärvide op, lüh.ravi",008O,"Peripheral & cranial nerve & other nervous system procedures, short therapy","Peripheral & cranial nerve & other nervous system procedures, short therapy",1,est
009,Lülisamba ja seljaaju haigused ning vigastused,Lülisamba ja seljaaju haigused ning vigastused,009X,Spinal disorders & injuries,Spinal disorders & injuries,1,est
010,"Närvisüsteemi kasvajad, kht-ga","Närvisüsteemi kasvajad, kht-ga",010X,Nervous system neoplasm w cc,Nervous system neoplasm w cc,1,est
011,"Närvisüsteemi kasvajad, kht-ta","Närvisüsteemi kasvajad, kht-ta",011X,"Nervous system neoplasms, w/o CC","Nervous system neoplasms, w/o CC",1,est
