drg_comb,drg_text_comb,drg_text_short_comb,mdc,nat_ver
001A,Intracranial surgery for central nervous system tumor,Intracranial surgery for central nervous system tumor,1.0,est/lat/ice/fin/nor
001AM,"Intracranial surgery for central nervous system tumour, w MCC","Intracranial surgery for central nervous system tumour, w MCC",1.0,swe
001AN,"Intracranial surgery for central nervous system tumour, w/o CC","Intracranial surgery for central nervous system tumour, w/o CC",1.0,swe
001B,Other intracranial vascular surgery,Other intracranial vascular surgery,1.0,est/lat/ice/fin/nor
001BM,"Other intracranial vascular surgery, w MCC","Other intracranial vascular surgery, w MCC",1.0,swe
001BN,"Other intracranial vascular surgery, w/o CC","Other intracranial vascular surgery, w/o CC",1.0,swe
001C,Intervention of intracranial vascular abnormality or infarction,Intervention of intracranial vascular abnormality or infarc,1.0,est/lat/ice/fin/nor
001CN,"Surgery of intracranial aneurysm, vascular anomaly or hemangioma","Surgery of intracranial aneurysm, vascular anomaly or hemangioma",1.0,swe
001D,Intracranial cerebrospinal fluid shunt surgery,Intracranial cerebrospinal fluid shunt surgery,1.0,est/lat/ice/fin/nor
001DM,"Intracranial cerebrospinal fluid shunt surgery, w MCC","Intracranial cerebrospinal fluid shunt surgery, w MCC",1.0,swe
001DN,"Intracranial cerebrospinal fluid shunt surgery, w/o CC","Intracranial cerebrospinal fluid shunt surgery, w/o CC",1.0,swe
001E,Other craniotomy except for trauma,Other craniotomy except for trauma,1.0,est/lat/ice/fin/nor
001EM,"Other craniotomy except  trauma, w MCC","Other craniotomy except  trauma, w MCC",1.0,swe
001EN,"Other craniotomy except for trauma, w/o CC","Other craniotomy except for trauma, w/o CC",1.0,swe
002A,Other craniotomy for trauma,Other craniotomy for trauma,1.0,est/lat/ice/fin/nor
002AC,"Other craniotomy for trauma, w CC","Other craniotomy for trauma, w CC",1.0,swe
002AM,"Other craniotomy for trauma, w MCC","Other craniotomy for trauma, w MCC",1.0,swe
002AN,"Other craniotomy for trauma, w/o CC","Other craniotomy for trauma, w/o CC",1.0,swe
