mdc,mdc_text_nat,mdc_text_comb,country
0,PreMDC DRG,PreMDC DRG,est
1,Närvihaigused,Diseases of nervous system,est
2,Silmahaigused,Diseases and disorders of the eye,est
3,"Kõrva-, nina-, suu- ja kurguhaigused","Diseases and disorders of the ear, nose, mouth and throat",est
4,Hingamiselundite haigused,Diseases and disorders of the respiratory system,est
5,Vereringehaigused,Diseases and disorders of the circulatory system,est
6,Seedeelundite haigused,Diseases and disorders of the digestive system,est
7,"Maksa, sapiteede ja kõhunäärme haigused",Diseases and disorders of the hepatobiliary system and pancreas,est
8,Luulihaskonna ja sidekoe haigused,Diseases and disorders of the musculoskeletal system and connective tissue,est
9,Naha ja nahaaluskoe haigused,Diseases and disorders of the skin and subcutaneous tissue,est
10,"Endokriin-, toitumis- ja ainevahetushaigused","Endocrine, nutritional and metabolic diseases and disorders",est
11,Neerude ja kuseteede haigused,Diseases and disorders of the kidney and urinary tract,est
12,Mehe reproduktiivelundite haigused,Diseases and disorders of the male reproductive system,est
13,Naise reproduktiivelundite haigused,Diseases and disorders of the female reproductive system,est
14,"Rasedus, sünnitus ja sünnitusjärgsed seisundid ","Pregnancy, childbirth and puerperium",est
15,Vastsündinute haigused,Newborns and other neonates with conditions originating in the perinatal period,est
16,Vere ja vereloomeelundite haigused ning immuunmehhanismidega seotud haigused,Diseases and disorders of the blood and blood forming organs and immunological disorders,est
17,"Müeloproliferatiivsed haigused, vähediferentseerunud kasvajad","Myeloproliferative diseases and disorders, poorly differentiated neoplasms",est
18,Infektsioon- ja parasitaarhaigused,Infectious and parasitic diseases,est
19,Psüühilised haigused,Mental diseases and disorders,est
21,"Vigastused, mürgistused ja ravimite toksilised toimed","Injuries, poisonings and toxic effects of drugs",est
22,Põletused,Burns,est
23,Tervist mõjustavad tegurid ja muud kontaktid terviseteenistustega,Factors influencing health status and other contacts with health services,est
24,Raske hulgitrauma,Multiple significant trauma,est
30,Rinna haigusseisundid,Breast problem,est
98,Mehe/naise reproduktiivelundite haigused,Diseases and disorders of male/female reprodutive organs,est
99,Täpsustamata või vigane informatsioon,Unspecific or erroneous information,est
0,PreMDC DRG,PreMDC DRG,fin
1,Hermojärjestelmän sairaudet,Diseases of nervous system,fin
2,Silmän sairaudet,Diseases and disorders of the eye,fin
3,"Korvan, nenän ja kurkun sairaudet","Diseases and disorders of the ear, nose, mouth and throat",fin
4,Hengityselinten sairaudet,Diseases and disorders of the respiratory system,fin
5,Verenkiertoelinten sairaudet,Diseases and disorders of the circulatory system,fin
6,Ruuansulatuskanavan sairaudet,Diseases and disorders of the digestive system,fin
7,"Maksan, sappiteiden ja haiman sairaudet",Diseases and disorders of the hepatobiliary system and pancreas,fin
8,Tuki- ja liikuntaelinten ja sidekudoksen sairaudet,Diseases and disorders of the musculoskeletal system and connective tissue,fin
9,Ihon ja ihonalaisen kudoksen sairaudet,Diseases and disorders of the skin and subcutaneous tissue,fin
10,"Endokriiniset, nutritionaaliset ja metaboliset  sairaudet","Endocrine, nutritional and metabolic diseases and disorders",fin
11,Munuaisten ja virtsateiden sairaudet,Diseases and disorders of the kidney and urinary tract,fin
12,Miehen lisääntymisjärjestelmän sairaudet,Diseases and disorders of the male reproductive system,fin
13,Naisen lisääntymisjärjestelmän sairaudet,Diseases and disorders of the female reproductive system,fin
14,"Raskaus, synnytys ja lapsivuodekausi","Pregnancy, childbirth and puerperium",fin
15,Vastasyntyneet tai perinataalikaudella alkavat ongelmat,Newborns and other neonates with conditions originating in the perinatal period,fin
16,"Veren, vertamuodostavan kudoksen ja immunologisen järjestelmän sairaudet",Diseases and disorders of the blood and blood forming organs and immunological disorders,fin
17,Myeloproliferatiiviset sairaudet ja erilaistumattomat kasvaimet,"Myeloproliferative diseases and disorders, poorly differentiated neoplasms",fin
18,Infektiosairaudet,Infectious and parasitic diseases,fin
19,Psyykkiset sairaudet,Mental diseases and disorders,fin
21,"Vammat, myrkytykset ja lääkkeiden toksiset vaikutukset","Injuries, poisonings and toxic effects of drugs",fin
22,Palovammat,Burns,fin
23,Terveydentilaan vaikuttavia tekijöitä,Factors influencing health status and other contacts with health services,fin
24,Merkittävä monivamma,Multiple significant trauma,fin
30,Rintarauhasen ongelma,Breast problem,fin
98,Naisen/miehen lisääntymiselinten sairaus,Diseases and disorders of male/female reprodutive organs,fin
99,Epäspesifinen tai virheellinen informaatio,Unspecific or erroneous information,fin
0,Utan MGH hópa,PreMDC DRG,ice
1,Sjúkdómar og raskanir í taugakerfi,Diseases of nervous system,ice
2,Sjúkdómar og raskanir í auga,Diseases and disorders of the eye,ice
3,"Sjúkdómar og raskanir í eyra, nefi, munni og hálsi","Diseases and disorders of the ear, nose, mouth and throat",ice
4,Sjúkdómar og raskanir í öndunarfærum,Diseases and disorders of the respiratory system,ice
5,Sjúkdómar og raskanir í blóðrásarkerfi,Diseases and disorders of the circulatory system,ice
6,Sjúkdómar og raskanir í meltingarkerfi,Diseases and disorders of the digestive system,ice
7,"Sjúkdómar og raskanir í lifur, gallkerfi og brisi",Diseases and disorders of the hepatobiliary system and pancreas,ice
8,"Sjúkdómar og raskanir í vöðvum, beinum og bandvef",Diseases and disorders of the musculoskeletal system and connective tissue,ice
9,Sjúkdómar og raskanir í húð og húðbeð,Diseases and disorders of the skin and subcutaneous tissue,ice
10,"Innkirtla-, næringar- og efnaskiptasjúkdómar og raskanir","Endocrine, nutritional and metabolic diseases and disorders",ice
11,Sjúkdómar og raskanir í nýra og þvagvegi,Diseases and disorders of the kidney and urinary tract,ice
12,Sjúkdómar og raskanir í getnaðarfærum karla,Diseases and disorders of the male reproductive system,ice
13,Sjúkdómar og raskanir í getnaðarfærum kvenna,Diseases and disorders of the female reproductive system,ice
14,"Þungun, barnsburður og sængurlega","Pregnancy, childbirth and puerperium",ice
15,Nýburar og önnur nýfædd börn með sjúkdóma sem rekja má til fósturskeiðs,Newborns and other neonates with conditions originating in the perinatal period,ice
16,Sjúkdómar og raskanir í blóði og blóðmyndunarfærum og ónæmisraskanir,Diseases and disorders of the blood and blood forming organs and immunological disorders,ice
17,Mergfrumufjölgunarsjúkdómar og -raskanir og illa sundurgreind æxli,"Myeloproliferative diseases and disorders, poorly differentiated neoplasms",ice
18,Smit- og sníklasjúkdómar,Infectious and parasitic diseases,ice
19,Geðsjúkdómar og raskanir,Mental diseases and disorders,ice
21,"Áverkar, eitranir og eituráhrif lyfja","Injuries, poisonings and toxic effects of drugs",ice
22,Brunar,Burns,ice
23,Þættir sem áhrif hafa á heilbrigðisástand og önnur tengsl við heilbrigðisþjónustu,Factors influencing health status and other contacts with health services,ice
24,Verulegir fjöláverkar,Multiple significant trauma,ice
30,Sjúkdómar og raskanir í brjóstum,Breast problem,ice
98,Sjúkdómar og raskanir í kynfærum karla/kvenna,Diseases and disorders of male/female reprodutive organs,ice
99,Ósértækt eða rangar upplýsingar (villuflokkar),Unspecific or erroneous information,ice
0,PreMDC DRG,PreMDC DRG,lat
