mdc,mdc_text_comb,nat_ver
0,PreMDC DRG,est/swe/lat/ice/fin/nor
1,Diseases of nervous system,est/swe/lat/ice/fin/nor
2,Diseases and disorders of the eye,est/swe/lat/ice/fin/nor
3,"Diseases and disorders of the ear, nose, mouth and throat",est/swe/lat/ice/fin/nor
4,Diseases and disorders of the respiratory system,est/swe/lat/ice/fin/nor
5,Diseases and disorders of the circulatory system,est/swe/lat/ice/fin/nor
6,Diseases and disorders of the digestive system,est/swe/lat/ice/fin/nor
7,Diseases and disorders of the hepatobiliary system and pancreas,est/swe/lat/ice/fin/nor
8,Diseases and disorders of the musculoskeletal system and connective tissue,est/swe/lat/ice/fin/nor
9,Diseases and disorders of the skin and subcutaneous tissue,est/swe/lat/ice/fin/nor
10,"Endocrine, nutritional and metabolic diseases and disorders",est/swe/lat/ice/fin/nor
11,Diseases and disorders of the kidney and urinary tract,est/swe/lat/ice/fin/nor
12,Diseases and disorders of the male reproductive system,est/swe/lat/ice/fin/nor
13,Diseases and disorders of the female reproductive system,est/swe/lat/ice/fin/nor
14,"Pregnancy, childbirth and puerperium",est/swe/lat/ice/fin/nor
15,Newborns and other neonates with conditions originating in the perinatal period,est/swe/lat/ice/fin/nor
16,Diseases and disorders of the blood and blood forming organs and immunological disorders,est/swe/lat/ice/fin/nor
17,"Myeloproliferative diseases and disorders, poorly differentiated neoplasms",est/swe/lat/ice/fin/nor
18,Infectious and parasitic diseases,est/swe/lat/ice/fin/nor
19,Mental diseases and disorders,est/swe/lat/ice/fin/nor
21,"Injuries, poisonings and toxic effects of drugs",est/swe/lat/ice/fin/nor
22,Burns,est/swe/lat/ice/fin/nor
23,Factors influencing health status and other contacts with health services,est/swe/lat/ice/fin/nor
24,Multiple significant trauma,est/swe/lat/ice/fin/nor
25,HIV infection,est/swe/lat/ice/fin/nor
30,Breast problem,est/swe/lat/ice/fin/nor
40,MDC overlapping groups,est/swe/lat/ice/fin/nor
50,Caregiver dependant groups,est/swe/lat/ice/fin/nor
98,Diseases and disorders of male/female reprodutive organs,est/swe/lat/ice/fin/nor
99,Unspecific or erroneous information,est/swe/lat/ice/fin/nor
