code_nat,text_nat,code_plus,text_plus,country
1XX0N,xx1XX0N -,_1XX0N,Inactivated at 31.12.2021 - XX1XX0N,
5VM18,xx5VM18 -,_5VM18,Inactivated at 31.12.2021 - XX5VM18,
A16AX,Ammonul injection 10% 50 ml,_A16AX,Inactivated at 31.12.2021 - Ammonul injection 10% 50 ml,
AAFG90,Endurtekin segulörvunarmeðferð (RTMS),AAFG90,Repeating transcranial magnetic stimulation,
AAFG92,Segulörvunarmeðferð (TMS),AAFG90,Repeating transcranial magnetic stimulation,
B02BC,Evicel,_B02BC,Inactivated at 31.12.2021 - Fibrinogen and thrombin for locall haemosthasis (Evicel),
L01XC,L01XCZX120,_L01XC,Inactivated at 31.12.2021 - L01XCZX120,
WAA731,Tekinn af öndunarvél,WAA720,Own respiration,
A01AA,Caries prophylactic agents,A01AA,Caries prophylactic agents,den
A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB,Antiinfectives and antiseptics for local oral treatment,den
A01AC,Corticosteroids for local oral treatment,A01AC,Corticosteroids for local oral treatment,den
A01AD,Other agents for local oral treatment,A01AD,Other agents for local oral treatment,den
A02AA,Magnesium compounds,A02AA,Magnesium compounds,den
A02AB,Aluminium compounds,A02AB,Aluminium compounds,den
A02AC,Calcium compounds,A02AC,Calcium compounds,den
A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",den
A02AF,Antacids with antiflatulents,A02AF,Antacids with antiflatulents,den
A02AG,Antacids with antispasmodics,A02AG,Antacids with antispasmodics,den
A02AH,Antacids with sodium bicarbonate,A02AH,Antacids with sodium bicarbonate,den
A02AX,"Antacids, other combinations",A02AX,"Antacids, other combinations",den
A02BA,H2-receptor antagonists,A02BA,H2-receptor antagonists,den
A02BB,Prostaglandins,A02BB,Prostaglandins,den
A02BC,Proton pump inhibitors,A02BC,Proton pump inhibitors,den
A02BD,Combinations for eradication of Helicobacter pylori,A02BD,Combinations for eradication of Helicobacter pylori,den
A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),den
A03AA,"Synthetic anticholinergics, esters with tertiary amino group",A03AA,"Synthetic anticholinergics, esters with tertiary amino group",den
A03AB,"Synthetic anticholinergics, quaternary ammonium compounds",A03AB,"Synthetic anticholinergics, quaternary ammonium compounds",den
A03AC,"Synthetic antispasmodics, amides with tertiary amines",A03AC,"Synthetic antispasmodics, amides with tertiary amines",den
A03AD,Papaverine and derivatives,A03AD,Papaverine and derivatives,den
A03AE,Drugs acting on serotonin receptors,A03AE,Drugs acting on serotonin receptors,den
A03AX,Other drugs for functional bowel disorders,A03AX,Other drugs for functional bowel disorders,den
A03BA,"Belladonna alkaloids, tertiary amines",A03BA,"Belladonna alkaloids, tertiary amines",den
A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",den
A03CA,Synthetic anticholinergic agents in combination with psycholeptics,A03CA,Synthetic anticholinergic agents in combination with psycholeptics,den
A03CB,Belladonna and derivatives in combination with psycholeptics,A03CB,Belladonna and derivatives in combination with psycholeptics,den
A03CC,Other antispasmodics in combination with psycholeptics,A03CC,Other antispasmodics in combination with psycholeptics,den
A03DA,Synthetic anticholinergic agents in combination with analgesics,A03DA,Synthetic anticholinergic agents in combination with analgesics,den
A03DB,Belladonna and derivatives in combination with analgesics,A03DB,Belladonna and derivatives in combination with analgesics,den
A03DC,Other antispasmodics in combination with analgesics,A03DC,Other antispasmodics in combination with analgesics,den
A03EA,"Antispasmodics, psycholeptics and analgesics in combination",A03EA,"Antispasmodics, psycholeptics and analgesics in combination",den
A03ED,Antispasmodics in combination with other drugs,A03ED,Antispasmodics in combination with other drugs,den
A03FA,Propulsives,A03FA,Propulsives,den
A04AA,Serotonin (5HT3) antagonists,A04AA,Serotonin (5HT3) antagonists,den
A04AD,Other antiemetics,A04AD,Other antiemetics,den
A05AA,Bile acid preparations,A05AA,Bile acid preparations,den
A05AB,Preparations for biliary tract therapy,A05AB,Preparations for biliary tract therapy,den
A05AX,Other drugs for bile therapy,A05AX,Other drugs for bile therapy,den
A05BA,Liver therapy,A05BA,Liver therapy,den
A06AA,"Softeners, emollients",A06AA,"Softeners, emollients",den
A06AB,Contact laxatives,A06AB,Contact laxatives,den
A06AC,Bulk producers,A06AC,Bulk producers,den
