code_plus,text_plus,vartype,varval,or_val,prop_0,varval_text_comb,nat_ver
A01AA,Caries prophylactic agents,OR,0,0,True,,est/lat/swe/den/ice
A01AA01,Sodium fluoride,OR,0,0,True,,fin/swe
A01AA02,Sodium monofluorophosphate,OR,0,0,True,,fin/swe
A01AA03,Olaflur,OR,0,0,True,,fin/swe
A01AA04,Stannous fluoride,OR,0,0,True,,fin/swe
A01AA30,Combinations,OR,0,0,True,,fin/swe
A01AA51,"Sodium fluoride, combinations",OR,0,0,True,,fin/swe
A01AB,Antiinfectives and antiseptics for local oral treatment,OR,0,0,True,,est/lat/swe/den
A01AB02,Hydrogen peroxide,OR,0,0,False,,fin/swe
A01AB02,Hydrogen peroxide,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A01AB03,Chlorhexidine,OR,0,0,True,,fin/swe
A01AB04,Amphotericin B,OR,0,0,False,,fin/swe
A01AB04,Amphotericin B,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A01AB05,Polynoxylin,OR,0,0,False,,fin/swe
A01AB05,Polynoxylin,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A01AB06,Domiphen,OR,0,0,False,,fin/swe
A01AB06,Domiphen,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A01AB07,Oxyquinoline,OR,0,0,True,,fin/swe
A01AB08,Neomycin,OR,0,0,True,,fin/swe
A01AB09,Miconazole,OR,0,0,True,,fin/swe
A01AB10,Natamycin,OR,0,0,True,,fin/swe
A01AB11,Various,OR,0,0,True,,fin/swe
A01AB12,Hexetidine,OR,0,0,True,,fin/swe
A01AB13,Tetracycline,OR,0,0,True,,fin/swe
A01AB14,Benzoxonium chloride,OR,0,0,True,,fin/swe
A01AB15,Tibezonium iodide,OR,0,0,True,,fin/swe
A01AB16,Mepartricin,OR,0,0,True,,fin/swe
A01AB17,Metronidazole,OR,0,0,True,,fin/swe
A01AB18,Clotrimazole,OR,0,0,True,,fin/swe
A01AB19,Sodium perborate,OR,0,0,True,,fin/swe
A01AB21,Chlortetracycline,OR,0,0,True,,fin/swe
A01AB22,Doxycycline,OR,0,0,True,,fin/swe
A01AB23,Minocycline,OR,0,0,True,,fin/swe
A01AC,Corticosteroids for local oral treatment,OR,0,0,True,,est/lat/swe/den
A01AC01,Triamcinolone,OR,0,0,True,,fin/swe
A01AC02,Dexamethasone,OR,0,0,True,,fin/swe
A01AC03,Hydrocortisone,OR,0,0,True,,fin/swe
A01AC54,"Prednisolone, combinations",OR,0,0,True,,fin/swe
A01AD,Other agents for local oral treatment,OR,0,0,True,,est/lat/swe/den
A01AD01,Epinephrine,OR,0,0,False,,fin/swe
A01AD01,Epinephrine,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A01AD02,Benzydamine,OR,0,0,False,,fin/swe
A01AD02,Benzydamine,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A01AD05,Acetylsalicylic acid,OR,0,0,False,,fin/swe
A01AD05,Acetylsalicylic acid,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A01AD06,Adrenalone,OR,0,0,False,,fin/swe
A01AD06,Adrenalone,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A01AD07,Amlexanox,OR,0,0,False,,fin/swe
A01AD07,Amlexanox,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A01AD08,Becaplermin,OR,0,0,True,,fin/swe
A01AD11,Various,OR,0,0,False,,fin/swe
A01AD11,Various,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A02AA,Magnesium compounds,OR,0,0,True,,est/lat/swe/den
A02AA01,Magnesium carbonate,OR,0,0,False,,fin/swe
A02AA01,Magnesium carbonate,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
A02AA02,Magnesium oxide,OR,0,0,True,,fin/swe
A02AA03,Magnesium peroxide,OR,0,0,True,,fin/swe
A02AA04,Magnesium hydroxide,OR,0,0,True,,fin/swe
A02AA05,Magnesium silicate,OR,0,0,True,,fin/swe
A02AA10,Combinations,OR,0,0,True,,fin/swe
A02AB,Aluminium compounds,OR,0,0,True,,est/lat/swe/den
A02AB01,Aluminium hydroxide,OR,0,0,True,,fin/swe
A02AB02,Algeldrate,OR,0,0,True,,fin/swe
A02AB03,Aluminium phosphate,OR,0,0,True,,fin/swe
A02AB04,Dihydroxialumini sodium carbonate,OR,0,0,True,,fin/swe
A02AB05,Aluminium acetoacetate,OR,0,0,True,,fin/swe
A02AB06,Aloglutamol,OR,0,0,True,,fin/swe
A02AB07,Aluminium glycinate,OR,0,0,True,,fin/swe
A02AB10,Combinations,OR,0,0,True,,fin/swe
A02AC,Calcium compounds,OR,0,0,True,,est/lat/swe/den
A02AC01,Calcium carbonate,OR,0,0,True,,fin/swe
A02AC02,Calcium silicate,OR,0,0,True,,fin/swe
