code_plus,text_plus,nat_ver
_1AA01,Inactivated at 31.12.2021 - Syklofosfamidi,
_1AA09,Inactivated at 31.12.2021 - Levact (bendamustiini),
_1AB01,Inactivated at 31.12.2021 - Heparin - B01AB01,
_1AB02,Inactivated at 31.12.2021 - Hydrogen peroxide - A01AB02,
_1AB04,Inactivated at 31.12.2021 - Amphotericin B - A01AB04,
_1AB05,Inactivated at 31.12.2021 - Polynoxylin - A01AB05,
_1AB06,Inactivated at 31.12.2021 - Domiphen - A01AB06,
_1AC01,Inactivated at 31.12.2021 - Thiotepa - L01AC01,
_1AC03,Inactivated at 31.12.2021 - H01AC03,
_1AC09,Inactivated at 31.12.2021 - Epoprostenol - B01AC09,
_1AC11,Inactivated at 31.12.2021 - lloprost - B01AC11,
_1AC12,Inactivated at 31.12.2021 - Fenticonazole - D01AC12,
_1AC13,Inactivated at 31.12.2021 - Abciximab - B01AC13,
_1AC21,Inactivated at 31.12.2021 - Treprostinil - B01AC21,
_1AC27,Inactivated at 31.12.2021 - B01AC27,
_1AD01,Inactivated at 31.12.2021 - Epinephrine - A01AD01,
_1AD02,Inactivated at 31.12.2021 - Benzydamine - A01AD02,
_1AD03,Inactivated at 31.12.2021 - Anistreplase - B01AD03,
_1AD04,Inactivated at 31.12.2021 - B01AD04 - Urokinase,
_1AD05,Inactivated at 31.12.2021 - A01AD05 -,
_1AD06,Inactivated at 31.12.2021 - A01AD06 -,
_1AD07,Inactivated at 31.12.2021 - A01AD07 -,
_1AD08,Inactivated at 31.12.2021 - B01AD08 -,
_1AD09,Inactivated at 31.12.2021 - B01AD09 -,
_1AD10,Inactivated at 31.12.2021 - B01AD10 -,
_1AD11,Inactivated at 31.12.2021 - A01AD11 -,
_1AD12,Inactivated at 31.12.2021 - B01AD12 -,
_1AE03,Inactivated at 31.12.2021 - B01AE03 -,
_1AG01,Inactivated at 31.12.2021 - L01AG01 -,
_1AX01,Inactivated at 31.12.2021 - Defibrotide (prociclide) 80mg/ml,
_1AX03,Inactivated at 31.12.2021 - Temodal 100mg kapseli suun kautta,
_1AX06,Inactivated at 31.12.2021 - Wellvone lääkehoito,
_1BA01,Inactivated at 31.12.2021 - Behandling med legemiddel S01BA01 (Deksametason),
_1BA02,Inactivated at 31.12.2021 - Octostim 150 mikrogr/plo - Nesäsumute,
_1BA04,Inactivated at 31.12.2021 - C01BA04 -,
_1BA05,Inactivated at 31.12.2021 - C01BA05 -,
_1BA15,Inactivated at 31.12.2021 - S01BA15 -,
_1BB04,Inactivated at 31.12.2021 - C01BB04 -,
_1BB05,Inactivated at 31.12.2021 - L01BB05 -,
_1BB06,Inactivated at 31.12.2021 - Evoltra (klofarabiini),
_1BB07,Inactivated at 31.12.2021 - Atriance 5mg/ml inf.,
_1BC01,Inactivated at 31.12.2021 - L01BC01 -,
_1BC02,Inactivated at 31.12.2021 - L01BC02 -,
_1BC03,Inactivated at 31.12.2021 - C01BC03 -,
