procprop,varval_text_comb,extens,nat_ver
00S01,Liver transplant,0.0,est/swe/lat/ice/den/fin/nor
00S03,Tracheostomy,0.0,est/swe/lat/ice/den/fin/nor
00S04,Lung transplant,0.0,est/swe/lat/ice/den/fin/nor
00S05,"Major face, mouth & neck procedure",0.0,est/swe/lat/ice/fin/nor
00S06,Pancreas transplantation,0.0,est/swe/lat/ice/den/fin/nor
00S07,Cardiac transplantation,0.0,est/swe/lat/ice/den/fin/nor
00S09,Major throat procedure,0.0,swe/fin/nor
00S20,Intensive circulatory support,1.0,est/swe/lat/ice/den/fin/nor
00S21,Use of IABP,1.0,swe/lat/ice/den/fin/nor
00S22,Intravenous thrombolysis,0.0,est/lat/fin
00S30,Free microvascular graft,1.0,swe/lat/ice/den/nor
00S99,Unspecified or impossible procedure,0.0,nor
01D01,"Diagnostic procedure of head, neck and central nervous system in MDC 01",0.0,fin
01D02,"Demanding diagnostic proc of head, neck and central nervous system in MDC 01",0.0,fin
01D21,"Diagn proc of heart, large vessels and other intrathoracal organs in MDC 01",0.0,fin
01D22,"Demanding diagn proc of heart, large vessels and other intrathoracic organs in MDC 01",0.0,fin
01O01,CNS cathetrisation,0.0,ice
01O02,Anesthesia for pain,0.0,ice/nor
01O03,Diagnostic test for CNS problems,0.0,ice
01O08,Adjustment of inoperated stimulator or shunt,0.0,ice/nor
01O10,Neurological minor diagnostic interventions,0.0,ice
01O11,Neuropsychological diagnostic interventions,0.0,ice/nor
01O13,Treatment with baclofen,0.0,nor
01S01,Craniotomy or intracranial procedure,1.0,est/swe/lat/ice/den/fin/nor
01S02,Spinal procedure,1.0,est/swe/lat/ice/den/fin/nor
01S03,Extracranial vascular procedure,0.0,est/swe/lat/ice/den/fin/nor
01S04,Median nerve operation,0.0,est/swe/lat/ice/den/fin/nor
01S05,Peripheral or cranial nerve or other nervous system procedure,0.0,est/swe/lat/ice/den/fin/nor
01S21,Procedures of sympathic nervous system,0.0,est/swe/lat/ice/den/fin/nor
01S26,Excision and destruction of intracranial lesion,1.0,est/swe/lat/ice/den/fin/nor
01S27,Operations for intracranial aneurysm and other vascular lesions,1.0,est/swe/lat/ice/den/fin/nor
01S28,Shunt operations on ventricles of brain and  intracerebral cysts,1.0,est/swe/lat/ice/den/fin/nor
01S29,Evacuation of chronic subdural haematoma,1.0,est/swe/lat/ice/den/fin/nor
