vartype,varval,varval_text_comb,code_nat,d_code_nat,text_nat,d_text_nat,code_plus,d_code_plus,text_plus,d_text_plus,nat_ver
COMPLEX,01C01,Neurological complication,A598,,Muussa sijaintipaikassa ilmenevä trikomoniaasi,,A5980,,Trichomoniasis of other sites,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,A599,,Määrittämätön trikomoniaasi,,A5990,,"Trichomoniasis, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,B374,,Muun urogenitaalielimen kandidiaasi,,B3740,,Candidiasis of other urogenital sites,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,E104,,Nuoruustyypin diabetes diabeteksen hermostokomplikaatiot,,E1040,,Insulin-dependent diabetes mellitus with neurological complications,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,E114,,Aikuistyypin diabetes diabeteksen hermostokomplikaatiot,,E1140,,Non-insulin-dependent diabetes mellitus with neurological complications,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,E124,,Aliravitsemukseen liittyvä diabetes diabeteksen hermostokomplikaatiot,,E1240,,Malnutrition-related diabetes mellitus with neurological complications,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,E134,,Muu diabetes diabeteksen hermostokomplikaatiot,,E1340,,Other specified diabetes mellitus with neurological complications,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,E144,,Määrittämätön diabetes diabeteksen hermostokomplikaatiot,,E1440,,Unspecified diabetes mellitus with neurological complications,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G800,,Spastinen kvadripleginen CP-oireyhtymä,,G8000,,Spastic cerebral palsy,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G801,,Spastinen dipleginen CP-oireyhtymä,,G8010,,Spastic diplegia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G802,,Spastinen hemipleginen CP-oireyhtymä,,G8020,,Infantile hemiplegia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G803,,Dyskineettinen CP-oireyhtymä,,G8030,,Dyskinetic cerebral palsy,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G804,,Ataktinen CP-oireyhtymä,,G8040,,Ataxic cerebral palsy,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G808,,Muu CP-oireyhtymä,,G8080,,Other infantile cerebral palsy,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G809,,Määrittämätön CP-oireyhtymä,,G8090,,"Infantile cerebral palsy, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G810,,Veltto hemiplegia,,G8100,,Flaccid hemiplegia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G811,,Jäykkä hemiplegia,,G8110,,Spastic hemiplegia,,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G819,,Määrittämätön hemiplegia,,G8190,,"Hemiplegia, unspecified",,est/swe/lat/ice/den/fin/nor
COMPLEX,01C01,Neurological complication,G820,,Veltto paraplegia,,G8200,,Flaccid paraplegia,,est/swe/lat/ice/den/fin/nor
