code_nat,d_code_nat,text_nat,d_text_nat,code_plus,d_code_plus,text_plus,d_text_plus,vartype,varval,prop_0,varval_text_comb,nat_ver
1AA01,,Inactivated at 31.12.2023 - Syklofosfamidi,,L01AA01,,Cyclophosphamide,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AA01,,Inactivated at 31.12.2023 - Syklofosfamidi,,L01AA01,,Cyclophosphamide,,MDC,00,True,PreMDC DRG,fin/swe
1AA09,,Inactivated at 31.12.2023 - Levact (bendamustiini) lääkeannos laskimoon,,L01AA09,,Bendamustine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,swe/fin
1AA09,,Inactivated at 31.12.2023 - Levact (bendamustiini) lääkeannos laskimoon,,L01AA09,,Bendamustine,,MDC,00,True,PreMDC DRG,swe/fin
1AB01,,Inactivated at 31.12.2023 - Hepariini - B01AB01,,B01AB01,,Heparin,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AB01,,Inactivated at 31.12.2023 - Hepariini - B01AB01,,B01AB01,,Heparin,,MDC,00,True,PreMDC DRG,fin/swe
1AB02,,Inactivated at 31.12.2023 - Vetyperoksidi - A01AB02,,A01AB02,,Hydrogen peroxide,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AB02,,Inactivated at 31.12.2023 - Vetyperoksidi - A01AB02,,A01AB02,,Hydrogen peroxide,,MDC,00,True,PreMDC DRG,fin/swe
1AB04,,Inactivated at 31.12.2023 - Amphotericin B - A01AB04,,A01AB04,,Amphotericin B,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AB04,,Inactivated at 31.12.2023 - Amphotericin B - A01AB04,,A01AB04,,Amphotericin B,,MDC,00,True,PreMDC DRG,fin/swe
1AB05,,Inactivated at 31.12.2023 - Polynoxylin - A01AB05,,A01AB05,,Polynoxylin,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AB05,,Inactivated at 31.12.2023 - Polynoxylin - A01AB05,,A01AB05,,Polynoxylin,,MDC,00,True,PreMDC DRG,fin/swe
1AB06,,Inactivated at 31.12.2023 - Domiphen - A01AB06,,A01AB06,,Domiphen,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AB06,,Inactivated at 31.12.2023 - Domiphen - A01AB06,,A01AB06,,Domiphen,,MDC,00,True,PreMDC DRG,fin/swe
1AC01,,Inactivated at 31.12.2023 - Tepadina 100mg laskimoon,,L01AC01,,Thiotepa,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AC01,,Inactivated at 31.12.2023 - Tepadina 100mg laskimoon,,L01AC01,,Thiotepa,,MDC,00,True,PreMDC DRG,fin/swe
1AC09,,"Inactivated at 31.12.2023 - Flolan 0,5 mg laskimoon (LNS)",,B01AC09,,Epoprostenol,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AC09,,"Inactivated at 31.12.2023 - Flolan 0,5 mg laskimoon (LNS)",,B01AC09,,Epoprostenol,,MDC,00,True,PreMDC DRG,fin/swe
1AC11,,Inactivated at 31.12.2023 - lloprosti - B01AC11,,B01AC11,,Iloprost,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AC11,,Inactivated at 31.12.2023 - lloprosti - B01AC11,,B01AC11,,Iloprost,,MDC,00,True,PreMDC DRG,fin/swe
1AC12,,Inactivated at 31.12.2023 - Fentikonatsoli - D01AC12 -,,D01AC12,,Fenticonazole,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AC12,,Inactivated at 31.12.2023 - Fentikonatsoli - D01AC12 -,,D01AC12,,Fenticonazole,,MDC,00,True,PreMDC DRG,fin/swe
1AC13,,Inactivated at 31.12.2023 - ABSIKSIMABI - B01AC13,,B01AC13,,Abciximab,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AC13,,Inactivated at 31.12.2023 - ABSIKSIMABI - B01AC13,,B01AC13,,Abciximab,,MDC,00,True,PreMDC DRG,fin/swe
1AC21,,Inactivated at 31.12.2023 - TREPROSTINIILI - B01AC21,,B01AC21,,Treprostinil,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AC21,,Inactivated at 31.12.2023 - TREPROSTINIILI - B01AC21,,B01AC21,,Treprostinil,,MDC,00,True,PreMDC DRG,fin/swe
1AD01,,Inactivated at 31.12.2023 - Epinephrine - A01AD01,,A01AD01,,Epinephrine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AD01,,Inactivated at 31.12.2023 - Epinephrine - A01AD01,,A01AD01,,Epinephrine,,MDC,00,True,PreMDC DRG,fin/swe
1AD02,,Inactivated at 31.12.2023 - BENTSYDAMIINI - A01AD02,,A01AD02,,Benzydamine,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AD02,,Inactivated at 31.12.2023 - BENTSYDAMIINI - A01AD02,,A01AD02,,Benzydamine,,MDC,00,True,PreMDC DRG,fin/swe
1AD03,,Inactivated at 31.12.2023 - Anistreplase - B01AD03,,B01AD03,,Anistreplase,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AD03,,Inactivated at 31.12.2023 - Anistreplase - B01AD03,,B01AD03,,Anistreplase,,MDC,00,True,PreMDC DRG,fin/swe
1AD04,,Inactivated at 31.12.2023 - Urokinaasi - B01AD04,,B01AD04,,Urokinase,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AD04,,Inactivated at 31.12.2023 - Urokinaasi - B01AD04,,B01AD04,,Urokinase,,MDC,00,True,PreMDC DRG,fin/swe
1AD05,,Inactivated at 31.12.2023 - A01AD05 -,,A01AD05,,Acetylsalicylic acid,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AD05,,Inactivated at 31.12.2023 - A01AD05 -,,A01AD05,,Acetylsalicylic acid,,MDC,00,True,PreMDC DRG,fin/swe
1AD06,,Inactivated at 31.12.2023 - A01AD06 -,,A01AD06,,Adrenalone,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AD06,,Inactivated at 31.12.2023 - A01AD06 -,,A01AD06,,Adrenalone,,MDC,00,True,PreMDC DRG,fin/swe
1AD07,,Inactivated at 31.12.2023 - A01AD07 -,,A01AD07,,Amlexanox,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AD07,,Inactivated at 31.12.2023 - A01AD07 -,,A01AD07,,Amlexanox,,MDC,00,True,PreMDC DRG,fin/swe
1AD08,,Inactivated at 31.12.2023 - B01AD08 -,,B01AD08,,Saruplase,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AD08,,Inactivated at 31.12.2023 - B01AD08 -,,B01AD08,,Saruplase,,MDC,00,True,PreMDC DRG,fin/swe
1AD09,,Inactivated at 31.12.2023 - B01AD09 -,,B01AD09,,Ancrod,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AD09,,Inactivated at 31.12.2023 - B01AD09 -,,B01AD09,,Ancrod,,MDC,00,True,PreMDC DRG,fin/swe
1AD10,,Inactivated at 31.12.2023 - B01AD10 -,,B01AD10,,Drotrecogin alfa (activated),,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AD10,,Inactivated at 31.12.2023 - B01AD10 -,,B01AD10,,Drotrecogin alfa (activated),,MDC,00,True,PreMDC DRG,fin/swe
1AD11,,Inactivated at 31.12.2023 - A01AD11 -,,A01AD11,,Various,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AD11,,Inactivated at 31.12.2023 - A01AD11 -,,A01AD11,,Various,,MDC,00,True,PreMDC DRG,fin/swe
1AD12,,Inactivated at 31.12.2023 - B01AD12 -,,B01AD12,,Protein C,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AD12,,Inactivated at 31.12.2023 - B01AD12 -,,B01AD12,,Protein C,,MDC,00,True,PreMDC DRG,fin/swe
1AE03,,Inactivated at 31.12.2023 - B01AE03 -,,B01AE03,,Argatroban,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AE03,,Inactivated at 31.12.2023 - B01AE03 -,,B01AE03,,Argatroban,,MDC,00,True,PreMDC DRG,fin/swe
1AG01,,Inactivated at 31.12.2023 - L01AG01 -,,L01AG01,,Etoglucid,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AG01,,Inactivated at 31.12.2023 - L01AG01 -,,L01AG01,,Etoglucid,,MDC,00,True,PreMDC DRG,fin/swe
1AX01,,Inactivated at 31.12.2023 - Defibrotide (prociclide) 80mg/ml,,B01AX01,,Defibrotide,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AX01,,Inactivated at 31.12.2023 - Defibrotide (prociclide) 80mg/ml,,B01AX01,,Defibrotide,,MDC,00,True,PreMDC DRG,fin/swe
1AX03,,Inactivated at 31.12.2023 - Temodal 100mg kapseli suun kautta,,L01AX03,,Temozolomide,,DGCAT,00M00,True,Code does not belong to any major diagnosis category,fin/swe
1AX03,,Inactivated at 31.12.2023 - Temodal 100mg kapseli suun kautta,,L01AX03,,Temozolomide,,MDC,00,True,PreMDC DRG,fin/swe
