dgprop,varval_text_comb,nat_ver
00X10,General anesthesia,swe/lat/ice/est/fin
01K99,Diseases of nervous system,swe/lat/ice/est/fin
01X01,Serious brain trauma,swe/lat/ice/den/nor/est/fin
01X02,Brain trauma,swe/lat/ice/den/nor/est/fin
01X03,Infarction or other non-transient cerebrovasc. disorder,swe/lat/ice/den/nor/est/fin
01X04,Non specific cerebrovascular disorder,swe/lat/ice/den/nor/est/fin
02K99,Diseases and disorders of the eye,swe/lat/ice/est/fin
02X02,Glaucoma,swe/lat/ice/den/nor/est/fin
02X03,Retinal detachment and bleeding,swe/lat/ice/den/nor/est/fin
02X10,Eye anesthesia,fin
03K99,"Diseases and disorders of the ear, nose, mouth and throat",swe/lat/ice/est/fin
03X04,"Cleft lip, gingiva or palate",swe/lat/ice/den/nor/est/fin
03X10,Mouth anesthesia,fin
04K99,Diseases and disorders of the respiratory system,swe/lat/ice/est/fin
04X01,Open wound of thorax,est/swe/lat/ice/den/fin/nor
04X02,Respiratory obstruction,est/swe/lat/ice/den/fin/nor
04X03,Respiratory failure,swe/lat/ice/den/est/fin
04X10,Pneumonia associated with covid-19,fin/ice/swe
05K99,Diseases and disorders of the circulatory system,swe/lat/ice/est/fin
05X01,Acute myocardial infarction,swe/lat/ice/den/nor/est/fin
05X02,Cardiovascular complication,swe/lat/ice/den/nor/est/fin
05X03,Other circulatory system complex diagnosis,swe/lat/ice/den/nor/est/fin
05X04,Cardiac valve disorder,swe/lat/ice/den/nor/est/fin
05X05,Heart failure,swe/lat/ice/den/nor/est/fin
05X06,Hemangioma,swe/lat/ice/den/nor/est/fin
05X07,Transplanted heart,swe/lat/ice/den/nor/est/fin
05X08,Coronary care emergency,lat/ice/den/nor/est/fin
05X30,Tricuspid valve,swe/lat/ice/den/nor/est/fin
05X31,Pulmonary valve,swe/lat/ice/den/nor/est/fin
05X32,Mitral valve,swe/lat/ice/den/nor/est/fin
05X33,Aortic valve,swe/lat/ice/den/nor/est/fin
06K99,Diseases and disorders of the digestive system,swe/lat/ice/est/fin
06X01,Complicated appedicitis,swe/lat/ice/den/nor/est/fin
06X02,Complicating factor in gastric ulcer,swe/lat/ice/den/nor/est/fin
06X04,Open wound of abdomen,swe/lat/ice/den/nor/est/fin
06X06,Disease or disorder of oesophagus,swe/lat/ice/den/nor/est/fin
06X07,Retroperitoenal non-malignant neoplasm,swe/lat/ice/den/nor/est/fin
06X10,G.I. hemorrhage or other complication of G.I. ulcer,est/swe/lat/ice/den/fin/nor
07K99,Diseases and disorders of the hepatobiliary system and pancreatic system,swe/lat/ice/est/fin
08K99,Diseases and disorders of the musculoskeletal system and connective tissue,swe/lat/ice/est/fin
08X01,Open wound of pelvic region,est/swe/lat/ice/den/fin/nor
08X10,Disorder of the knee,swe/lat/ice/den/nor/est/fin
08X11,Problem of the humerus,swe/lat/ice/den/nor/est/fin
08X12,Problem of the foot,swe/lat/ice/den/nor/est/fin
08X13,Problem of the shoulder,swe/lat/ice/den/nor/est/fin
08X14,Problem of the hand,swe/lat/ice/den/nor/est/fin
08X15,Problem of the ankle,swe/lat/ice/den/nor/est/fin
08X20,Tumor of bone,swe/lat/ice/den/nor/est/fin
08X21,Syndactyly,swe/lat/ice/den/nor/est/fin
08X30,Orthopaedic lesion of facial area,swe/lat/ice/den/nor/est/fin
09K99,Diseases and disorders of the skin and subcutaneous tissue,swe/lat/ice/est/fin
09X02,Erythema nodosum,swe/lat/ice/den/nor/est/fin
09X03,Skin tuberculosis,swe/lat/ice/den/nor/est/fin
09X05,Local infection associated with trauma,swe/lat/ice/den/nor/est/fin
09X06,Pilonidal sinus,swe/lat/ice/den/nor/est/fin
10K99,"Endocrine, nutritional and metabolic diseases and disorders",swe/lat/ice/est/fin
10X01,Endocrinological disorder associated with testis,swe/lat/ice/den/nor/est/fin
10X02,Pituitary tumor,swe/lat/ice/den/nor/est/fin
