ord,id,drg_nat,drg_text_nat,drg_comb,rtc,icd,mdc,dgcat,pdgprop,compl,or_proc,procpro,secpro,dgprop1,dgprop2,dgprop3,dgprop4,agelim,sex,dur,disch,nat_ver
10000000040,000D000004,470O,"Päädiagnoosi puuttuu, lyhyt hoito",470O,0,-,,,,,,99V35,,,,,,,,<2,N,fin
10000000050,000D000005,470O,"Päädiagnoosi puuttuu, lyhyt hoito",470O,0,-,,,,,,99V22,,,,,,,,<2,N,fin
10000000101,000D0000101,470X,Päädiagnoosi puuttuu,470X,1,-,,,,,,,,,,,,,,>1,,fin/ice/est
10000000300,000D000030,470X,Päädiagnoosi puuttuu,470X,1,-,,,,,,,,,,,,,,,E,fin/swe
10000010001,000D0010001,470Q,"Potilas liian vanha diagnoosille, lyhyt hoito",470Q,5,+,,,00P02,,,,,,,,,>6574,,<2,,fin/ice/est
10000011000,000D001100,470B,Potilas liian vanha diagnoosille,470B,5,+,,,00P02,,,,,,,,,>6574,,,,fin/ice/swe/est
10000020001,000D0020001,470R,"Potilas liian nuori diagnoosille, lyhyt hoito",470R,4,+,,,00P01,,,,,,,,,<5114,,<2,,fin/ice/est
10000021000,000D002100,470C,Potilas liian nuori diagnoosille,470C,4,+,,,00P01,,,,,,,,,<5114,,,,fin/ice/swe/est
10000030001,000D0030001,470S,"Potilaan ikä on väärin (> 125 vuotta), lyhyt hoito",470S,6,+,,,,,,,,,,,,>45654,,<2,,fin/ice/est
10000031000,000D003100,470D,Potilaan ikä on väärin (> 125 vuotta),470D,6,+,,,,,,,,,,,,>45654,,,,fin/ice/swe/est
10000040001,000D0040001,470U,"Kelpaamaton päädiagnoosi, lyhyt hoito",470U,8,+,,99M00,,,,99V35,,,,,,,,<2,,fin/ice
10000041000,000D004100,470E,Kelpaamaton päädiagnoosi,470E,8,+,,99M00,,,,,,,,,,,,,,fin/ice/est
10000050000,000D005000,470K,"Päädiagnoosi ilman määriteltyä ryhmittelyä, lyhyt hoito",470K,0,+,,99M01,,,,,,,,,,,,<2,,ice/fin
10000051000,000D005100,470J,Päädiagnoosi ilman määriteltyä ryhmittelyä,470J,0,+,99.0,99M01,,,,,,,,,,,,,,ice/swe/lat/fin
10007000201,000D7000201,470R,"Potilas liian nuori diagnoosille, lyhyt hoito",470R,4,+,14.0,,,,,,,,,,,<4018,,<2,,fin/ice/nor/est
10007000210,000D700021,470C,Potilas liian nuori diagnoosille,470C,4,+,14.0,,,,,,,,,,,<4018,,,,fin/ice/swe/est
10007000301,000D7000301,470Q,"Potilas liian vanha diagnoosille, lyhyt hoito",470Q,5,+,14.0,,,,,,,,,,,>21915,,<2,,fin/ice/est
10007000310,000D700031,470B,Potilas liian vanha diagnoosille,470B,5,+,14.0,,,,,,,,,,,>21915,,,,fin/ice/swe/est
10007000601,000D7000601,470R,"Potilas liian nuori diagnoosille, lyhyt hoito",470R,4,+,,,,,,,,14X03,,,,<4018,,<2,,fin/ice/est
10007000610,000D700061,470C,Potilas liian nuori diagnoosille,470C,4,+,,,,,,,,14X03,,,,<4018,,,,fin/ice/swe/est
10007000701,000D7000701,470Q,"Potilas liian vanha diagnoosille, lyhyt hoito",470Q,5,+,,,,,,,,14X03,,,,>21915,,<2,,fin/est
10007000710,000D700071,470B,Potilas liian vanha diagnoosille,470B,5,+,,,,,,,,14X03,,,,>21915,,,,fin/swe/est
10007001001,000D7001001,470R,"Potilas liian nuori diagnoosille, lyhyt hoito",470R,4,+,,,,,S,14S01,,,,,,<4018,,<2,,fin/ice/est
