drg_nat,drg_text_nat,drg_text_short_nat,drg_comb,drg_text_comb,drg_text_short_comb,mdc,country
001A,Keskushermoston kasvaimen kallonsisäinen leikkaus,Keskushermoston kasvaimen kallonsisäinen leik,001A,Intracranial surgery for central nervous system tumor,Intracranial surgery for central nervous system tumor,1,fin
001B,Muu kallonsisäinen verisuonikirurginen toimenpide,Muu kallonsisäinen verisuonikir toimenpide,001B,Other intracranial vascular surgery,Other intracranial vascular surgery,1,fin
001C,"Kallonsisäisen aneurysman, verisuonianomalian tai hemangioman toimenpide","Kallonsis aneurysman, verisuonianom,hemang tmp",001C,Intervention of intracranial vascular abnormality or infarction,Intervention of intracranial vascular abnormality or infarc,1,fin
001D,Kallonsisäinen aivo-selkäydinnestekierron toimenpide,Kallonsisäinen aivo-selkäydinnestekierron tp,001D,Intracranial cerebrospinal fluid shunt surgery,Intracranial cerebrospinal fluid shunt surgery,1,fin
001E,Muu kallonsisäinen toimenpide paitsi vamman korjaus,Muu kallonsisäinen toimenpide paitsi vamman k,001E,Other craniotomy except for trauma,Other craniotomy except for trauma,1,fin
002A,Muu aikuisen kallonsisäinen toimenpide trauman takia,Muu aikuisen kallonsisäinen toimenpide trauma,002A,Other craniotomy for trauma,Other craniotomy for trauma,1,fin
002B,"Kroonisen kovakalvonalaisen vuodon leikkaushoito, aikuinen","Kroonisen kovakalvonalaisen vuodon leikkaus, aik",002B,Surgery of chronic subdural hematoma,Surgery of chronic subdural hematoma,1,fin
003O,"Kallonsisäinen toimenpide, lyhyt hoito","Kallonsisäinen toimenpide, lyhyt hoito",003O,"Craniotomy, short therapy","Craniotomy, short therapy",1,fin
003P,"Aivojen stereotaktinen sädehoito, lyhyt hoito",Aivojen stereotaktinen sädehoito,003P,"Stereotactic intracranial radiotherapy, short therapy","Stereotactic intracranial radiotherapy, short therapy",1,fin
004,Selkäydinleikkaus,Selkäydinleikkaus,004X,Spinal procedures,Spinal procedures,1,fin
