code_nat,text_nat,code_plus,text_plus,country
1AA01,Inactivated at 31.12.2023 - Syklofosfamidi,L01AA01,Cyclophosphamide,fin
1AA09,Inactivated at 31.12.2023 - Levact (bendamustiini) lääkeannos laskimoon,L01AA09,Bendamustine,fin
1AB01,Inactivated at 31.12.2023 - Hepariini - B01AB01,B01AB01,Heparin,fin
1AB02,Inactivated at 31.12.2023 - Vetyperoksidi - A01AB02,A01AB02,Hydrogen peroxide,fin
1AB04,Inactivated at 31.12.2023 - Amphotericin B - A01AB04,A01AB04,Amphotericin B,fin
1AB05,Inactivated at 31.12.2023 - Polynoxylin - A01AB05,A01AB05,Polynoxylin,fin
1AB06,Inactivated at 31.12.2023 - Domiphen - A01AB06,A01AB06,Domiphen,fin
1AC01,Inactivated at 31.12.2023 - Tepadina 100mg laskimoon,L01AC01,Thiotepa,fin
1AC09,"Inactivated at 31.12.2023 - Flolan 0,5 mg laskimoon (LNS)",B01AC09,Epoprostenol,fin
1AC11,Inactivated at 31.12.2023 - lloprosti - B01AC11,B01AC11,Iloprost,fin
1AC12,Inactivated at 31.12.2023 - Fentikonatsoli - D01AC12 -,D01AC12,Fenticonazole,fin
1AC13,Inactivated at 31.12.2023 - ABSIKSIMABI - B01AC13,B01AC13,Abciximab,fin
1AC21,Inactivated at 31.12.2023 - TREPROSTINIILI - B01AC21,B01AC21,Treprostinil,fin
1AD01,Inactivated at 31.12.2023 - Epinephrine - A01AD01,A01AD01,Epinephrine,fin
1AD02,Inactivated at 31.12.2023 - BENTSYDAMIINI - A01AD02,A01AD02,Benzydamine,fin
1AD03,Inactivated at 31.12.2023 - Anistreplase - B01AD03,B01AD03,Anistreplase,fin
1AD04,Inactivated at 31.12.2023 - Urokinaasi - B01AD04,B01AD04,Urokinase,fin
1AD05,Inactivated at 31.12.2023 - A01AD05 -,A01AD05,Acetylsalicylic acid,fin
1AD06,Inactivated at 31.12.2023 - A01AD06 -,A01AD06,Adrenalone,fin
1AD07,Inactivated at 31.12.2023 - A01AD07 -,A01AD07,Amlexanox,fin
1AD08,Inactivated at 31.12.2023 - B01AD08 -,B01AD08,Saruplase,fin
1AD09,Inactivated at 31.12.2023 - B01AD09 -,B01AD09,Ancrod,fin
1AD10,Inactivated at 31.12.2023 - B01AD10 -,B01AD10,Drotrecogin alfa (activated),fin
1AD11,Inactivated at 31.12.2023 - A01AD11 -,A01AD11,Various,fin
1AD12,Inactivated at 31.12.2023 - B01AD12 -,B01AD12,Protein C,fin
1AE03,Inactivated at 31.12.2023 - B01AE03 -,B01AE03,Argatroban,fin
1AG01,Inactivated at 31.12.2023 - L01AG01 -,L01AG01,Etoglucid,fin
1AX01,Inactivated at 31.12.2023 - Defibrotide (prociclide) 80mg/ml,B01AX01,Defibrotide,fin
1AX03,Inactivated at 31.12.2023 - Temodal 100mg kapseli suun kautta,L01AX03,Temozolomide,fin
1AX06,Inactivated at 31.12.2023 - Wellvone lääkehoito,P01AX06,Atovaquone,fin
1BA01,Inactivated at 31.12.2023 - 1BA01 Metotreksaatti-annos 500 mg keskuslaskimokatetriin,S01BA01,Dexamethasone,fin
1BA02,Inactivated at 31.12.2023 - Octostim 150 mikrogr/plo - Nesäsumute,H01BA02,Desmopressin,fin
1BA04,Inactivated at 31.12.2023 - C01BA04 -,C01BA04,Sparteine,fin
1BA05,Inactivated at 31.12.2023 - C01BA05 -,C01BA05,Ajmaline,fin
1BA15,Inactivated at 31.12.2023 - S01BA15 -,S01BA15,Fluocinolone acetonide,fin
1BB04,Inactivated at 31.12.2023 - C01BB04 -,C01BB04,Aprindine,fin
1BB05,Inactivated at 31.12.2023 - L01BB05 -,L01BB05,Fludarabine,fin
1BB06,Inactivated at 31.12.2023 - Evoltra (klofarabiini) lääkeannos laskimoon,L01BB06,Clofarabine,fin
1BB07,Inactivated at 31.12.2023 - Atriance 5mg/ml inf. neste laskimoon,L01BB07,Nelarabine,fin
1BC01,Inactivated at 31.12.2023 - L01BC01 -,L01BC01,Cytarabine,fin
1BC02,Inactivated at 31.12.2023 - L01BC02 -,L01BC02,Fluorouracil,fin
1BC03,Inactivated at 31.12.2023 - C01BC03 -,C01BC03,Propafenone,fin
1BC04,Inactivated at 31.12.2023 - C01BC04 -,C01BC04,Flecainide,fin
1BC05,Inactivated at 31.12.2023 - L01BC05 -,L01BC05,Gemcitabine,fin
1BC06,Inactivated at 31.12.2023 - L01BC06 -,L01BC06,Capecitabine,fin
1BC07,Inactivated at 31.12.2023 - C01BC07 -,C01BC07,Lorcainide,fin
1BC08,Inactivated at 31.12.2023 - Dacogen (desitabiini) iv,L01BC08,Decitabine,fin
1BC52,Inactivated at 31.12.2023 - L01BC52 -,L01BC52,"Fluorouracil, combinations",fin
1BC53,Inactivated at 31.12.2023 - L01BC53 -,L01BC53,"Tegafur, combinations",fin
1BD01,Inactivated at 31.12.2023 - 1BD01ZX120,C01BD01,Amiodarone,fin
1BG11,Inactivated at 31.12.2023 - Brinavess 12 ml injektio laskimoon,C01BG11,Vernakalant,fin
1BX04,Inactivated at 31.12.2023 - Qutenza 179 mg laastari iholle,N01BX04,Capsaicin,fin
1CA01,"Inactivated at 31.12.2023 - Velbe, vinblastinsolusalpaaja",L01CA01,Vinblastine,fin
1CA04,Inactivated at 31.12.2023 - C01CA04 -,C01CA04,Dopamine,fin
1CB02,Inactivated at 31.12.2023 - H01CB02 -,H01CB02,Octreotide,fin
1CB03,Inactivated at 31.12.2023 - Somatuline autogel,H01CB03,Lanreotide,fin
1CD01,Inactivated at 31.12.2023 - L01CD01 -,L01CD01,Paclitaxel,fin
1CD02,Inactivated at 31.12.2023 - L01CD02 -,L01CD02,Docetaxel,fin
1CD04,Inactivated at 31.12.2023 - Jevtana (kabatsitakseli) lääkeannos laskimoon,L01CD04,Cabazitaxel,fin
1CX01,Inactivated at 31.12.2023 - L01CX01 -,L01CX01,Trabectedin,fin
1CX08,Inactivated at 31.12.2023 - C01CX08 -,C01CX08,Levosimendan,fin
1DB02,Inactivated at 31.12.2023 - J01DB02 -,J01DB02,Cefaloridine,fin
1DB03,Inactivated at 31.12.2023 - J01DB03 -,J01DB03,Cefalotin,fin
1DB04,Inactivated at 31.12.2023 - J01DB04 -,J01DB04,Cefazolin,fin
1DB05,Inactivated at 31.12.2023 - J01DB05 -,J01DB05,Cefadroxil,fin
1DB06,Inactivated at 31.12.2023 - J01DB06 -,J01DB06,Cefazedone,fin
1DB07,Inactivated at 31.12.2023 - J01DB07 -,J01DB07,Cefatrizine,fin
1DB08,Inactivated at 31.12.2023 - J01DB08 -,J01DB08,Cefapirin,fin
1DB09,Inactivated at 31.12.2023 - J01DB09 -,J01DB09,Cefradine,fin
1DC01,Inactivated at 31.12.2023 - J01DC01 -,J01DC01,Cefoxitin,fin
1DC02,Inactivated at 31.12.2023 - J01DC02 -,J01DC02,Cefuroxime,fin
1DC03,Inactivated at 31.12.2023 - J01DC03 -,J01DC03,Cefamandole,fin
1DH02,Inactivated at 31.12.2023 - J01DH02 -,J01DH02,Meropenem,fin
1DH03,Inactivated at 31.12.2023 - J01DH03 -,J01DH03,Ertapenem,fin
1DH04,Inactivated at 31.12.2023 - xx1DH04 -,J01DH04,Doripenem,fin
1DH51,Inactivated at 31.12.2023 - J01DH51 -,J01DH51,Imipenem and cilastatin,fin
1DX19,Inactivated at 31.12.2023 - C01DX19 -,C01DX19,Nesiritide,fin
1EA01,Inactivated at 31.12.2023 - Prostivas 0.5mg amp keskuslaskimokatetriin tai Pro,C01EA01,Alprostadil,fin
1EB16,Inactivated at 31.12.2023 - Pedea 5mg amp. laskimoon,C01EB16,Ibuprofen,fin
1EB19,Inactivated at 31.12.2023 - xx1EB19 -,B06AC02,Icatibant,fin
1LA01,Inactivated at 31.12.2023 - S01LA01 -,S01LA01,Verteporfin,fin
1LA04,Inactivated at 31.12.2023 - S01LA04 -,S01LA04,Ranibizumab,fin
1LA05,Inactivated at 31.12.2023 - Eylea 40 mg/ml muu paikallinen lääkehoito (Aflibersepti),S01LA05,Aflibercept,fin
1XA03,Inactivated at 31.12.2023 - L01XA03 -,L01XA03,Oxaliplatin,fin
1XA22,Inactivated at 31.12.2023 - Jetrea (okriplasmiini) injektio silmän lasiaiseen,S01XA22,Ocriplasmin,fin
1XC01,Inactivated at 31.12.2023 - J01XC01 -,J01XC01,Fusidic acid,fin
1XC02,Inactivated at 31.12.2023 - L01XC02 -,L01XC02,Rituximab,fin
1XC03,Inactivated at 31.12.2023 - L01XC03 -,L01XC03,Trastuzumab,fin
1XC04,Inactivated at 31.12.2023 - L01XC04 -,L04AA34,Alemtuzumab,fin
1XC05,Inactivated at 31.12.2023 - L01XC05 -,L01XC05,Gemtuzumab ozogamicin,fin
