code_nat,text_nat,code_plus,text_plus,vartype,varval,or_val,prop_0,varval_text_comb,nat_ver
1AA01,Inactivated at 31.12.2023 - Syklofosfamidi,L01AA01,Cyclophosphamide,OR,0,0,False,,fin/swe
1AA01,Inactivated at 31.12.2023 - Syklofosfamidi,L01AA01,Cyclophosphamide,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AA09,Inactivated at 31.12.2023 - Levact (bendamustiini) lääkeannos laskimoon,L01AA09,Bendamustine,OR,0,0,False,,fin/swe
1AA09,Inactivated at 31.12.2023 - Levact (bendamustiini) lääkeannos laskimoon,L01AA09,Bendamustine,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AB01,Inactivated at 31.12.2023 - Hepariini - B01AB01,B01AB01,Heparin,OR,0,0,False,,fin/swe
1AB01,Inactivated at 31.12.2023 - Hepariini - B01AB01,B01AB01,Heparin,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AB02,Inactivated at 31.12.2023 - Vetyperoksidi - A01AB02,A01AB02,Hydrogen peroxide,OR,0,0,False,,fin/swe
1AB02,Inactivated at 31.12.2023 - Vetyperoksidi - A01AB02,A01AB02,Hydrogen peroxide,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AB04,Inactivated at 31.12.2023 - Amphotericin B - A01AB04,A01AB04,Amphotericin B,OR,0,0,False,,fin/swe
1AB04,Inactivated at 31.12.2023 - Amphotericin B - A01AB04,A01AB04,Amphotericin B,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AB05,Inactivated at 31.12.2023 - Polynoxylin - A01AB05,A01AB05,Polynoxylin,OR,0,0,False,,fin/swe
1AB05,Inactivated at 31.12.2023 - Polynoxylin - A01AB05,A01AB05,Polynoxylin,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AB06,Inactivated at 31.12.2023 - Domiphen - A01AB06,A01AB06,Domiphen,OR,0,0,False,,fin/swe
1AB06,Inactivated at 31.12.2023 - Domiphen - A01AB06,A01AB06,Domiphen,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AC01,Inactivated at 31.12.2023 - Tepadina 100mg laskimoon,L01AC01,Thiotepa,OR,0,0,False,,fin/swe
1AC01,Inactivated at 31.12.2023 - Tepadina 100mg laskimoon,L01AC01,Thiotepa,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AC09,"Inactivated at 31.12.2023 - Flolan 0,5 mg laskimoon (LNS)",B01AC09,Epoprostenol,OR,0,0,False,,fin/swe
1AC09,"Inactivated at 31.12.2023 - Flolan 0,5 mg laskimoon (LNS)",B01AC09,Epoprostenol,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AC11,Inactivated at 31.12.2023 - lloprosti - B01AC11,B01AC11,Iloprost,OR,0,0,False,,fin/swe
1AC11,Inactivated at 31.12.2023 - lloprosti - B01AC11,B01AC11,Iloprost,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AC12,Inactivated at 31.12.2023 - Fentikonatsoli - D01AC12 -,D01AC12,Fenticonazole,OR,0,0,False,,fin/swe
1AC13,Inactivated at 31.12.2023 - ABSIKSIMABI - B01AC13,B01AC13,Abciximab,OR,0,0,False,,fin/swe
1AC13,Inactivated at 31.12.2023 - ABSIKSIMABI - B01AC13,B01AC13,Abciximab,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AC21,Inactivated at 31.12.2023 - TREPROSTINIILI - B01AC21,B01AC21,Treprostinil,OR,0,0,False,,fin/swe
1AC21,Inactivated at 31.12.2023 - TREPROSTINIILI - B01AC21,B01AC21,Treprostinil,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AD01,Inactivated at 31.12.2023 - Epinephrine - A01AD01,A01AD01,Epinephrine,OR,0,0,False,,fin/swe
1AD01,Inactivated at 31.12.2023 - Epinephrine - A01AD01,A01AD01,Epinephrine,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AD02,Inactivated at 31.12.2023 - BENTSYDAMIINI - A01AD02,A01AD02,Benzydamine,OR,0,0,False,,fin/swe
1AD02,Inactivated at 31.12.2023 - BENTSYDAMIINI - A01AD02,A01AD02,Benzydamine,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AD03,Inactivated at 31.12.2023 - Anistreplase - B01AD03,B01AD03,Anistreplase,OR,0,0,False,,fin/swe
1AD03,Inactivated at 31.12.2023 - Anistreplase - B01AD03,B01AD03,Anistreplase,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AD04,Inactivated at 31.12.2023 - Urokinaasi - B01AD04,B01AD04,Urokinase,OR,0,0,False,,fin/swe
1AD04,Inactivated at 31.12.2023 - Urokinaasi - B01AD04,B01AD04,Urokinase,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AD05,Inactivated at 31.12.2023 - A01AD05 -,A01AD05,Acetylsalicylic acid,OR,0,0,False,,fin/swe
1AD05,Inactivated at 31.12.2023 - A01AD05 -,A01AD05,Acetylsalicylic acid,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AD06,Inactivated at 31.12.2023 - A01AD06 -,A01AD06,Adrenalone,OR,0,0,False,,fin/swe
1AD06,Inactivated at 31.12.2023 - A01AD06 -,A01AD06,Adrenalone,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
1AD07,Inactivated at 31.12.2023 - A01AD07 -,A01AD07,Amlexanox,OR,0,0,False,,fin/swe
1AD07,Inactivated at 31.12.2023 - A01AD07 -,A01AD07,Amlexanox,PROCPR,99T00,0,False,"Complex medication, unspecified",fin
