procprop,varval_text_comb,extens,nat_ver
00S01,Liver transplant,False,est/swe/lat/ice/den/fin/nor
00S03,Tracheostomy,False,est/swe/lat/ice/den/fin/nor
00S04,Lung transplant,False,est/swe/lat/ice/den/fin/nor
00S05,"Major face, mouth and neck procedure",False,est/swe/lat/ice/fin/nor
00S06,Pancreas transplantation,False,est/swe/lat/ice/den/fin/nor
00S07,Cardiac transplantation,False,est/swe/lat/ice/den/fin/nor
00S09,Major throat procedure,False,swe/fin/nor
00S20,Intensive circulatory support,True,est/swe/lat/ice/den/fin/nor
00S21,Use of IABP,True,swe/lat/ice/den/fin/nor
00S22,Intravenous thrombolysis,False,est/lat/fin
01D01,"Diagnostic procedure of head, neck and central nervous system in MDC 01",False,fin
01D02,"Demanding diagnostic procedure of head, neck and central nervous system in MDC 01",False,fin
01D21,"Diagnostic procedure of heart, large vessels and other intrathoracic organs in MDC 01",False,fin
01D22,"Demanding diagnostic procedure of heart, large vessels and other intrathoracic organs in MDC 01",False,fin
01S01,Craniotomy or intracranial procedure,True,est/swe/lat/ice/den/fin/nor
01S02,Spinal procedure,True,est/swe/lat/ice/den/fin/nor
01S03,Extracranial vascular procedure,False,est/swe/lat/ice/den/fin/nor
01S04,Median nerve operation,False,est/swe/lat/ice/den/fin/nor
01S05,Peripheral or cranial nerve or other nervous system procedure,False,est/swe/lat/ice/den/fin/nor
01S21,Procedures of sympathic nervous system,False,est/swe/lat/ice/den/fin/nor
01S26,Excision and destruction of intracranial lesion,True,est/swe/lat/ice/den/fin/nor
01S27,Operations for intracranial aneurysm and other vascular lesions,True,est/swe/lat/ice/den/fin/nor
01S28,Shunt operations on ventricles of brain and  intracerebral cysts,True,est/swe/lat/ice/den/fin/nor
01S29,Evacuation of chronic subdural haematoma,True,est/swe/lat/ice/den/fin/nor
01S30,Intracranial endovascular trombolysis,False,est/swe/lat/ice/den/fin/nor
01S50,Stereotactic intracranial radiotherapy,False,est/swe/lat/ice/fin/nor/den
01S51,Insertion or replacement of nervous system central stimulation device,False,est/swe/lat/ice/den/fin/nor
01S52,Implantation of intracranial or vagal nerve stimulator,False,est/swe/lat/ice/den/fin
02D01,"Diagnostic procedure of head, neck and central nervous system in MDC 02",False,fin
02D02,"Demanding diagn proc of head, neck and central nervous system in MDC 02",False,fin
02S01,Procedure of the orbit,False,est/swe/lat/ice/den/fin/nor
02S02,Procedure of the retina,False,est/swe/lat/ice/den/fin/nor
02S03,Extraocular procedure but not procedure of the orbit,False,est/swe/lat/ice/den/fin/nor
02S04,"Intraocular procedure but not procedure of retina, iris or lens",False,est/swe/lat/ice/den/fin/nor
02S05,Procedure of the lens,False,est/swe/lat/ice/den/fin/nor
02S06,Procedure of the iris,False,est/swe/lat/ice/den/fin/nor
02S07,Procedure on vitreous,False,est/swe/lat/ice/den/fin/nor
02S14,Extraocular muscle procedure,False,est/swe/lat/ice/den/fin/nor
02S22,Brachytherapy of eye,False,est/swe/lat/ice/den/fin/nor
02S24,Major eye surgery,False,est/swe/lat/ice/den/fin/nor
02S25,Puncture of vitreous body with injection,False,fin
02S30,Laser procedures on iris and chamber angle,False,est/swe/lat/ice/den/fin/nor
02S31,Procedures on intraocular pressure,False,est/swe/lat/ice/den/fin/nor
02S33,Transplantation of cornea,False,est/swe/lat/ice/den/fin/nor
03D01,"Diagnostic procedure of head, neck and central nervous system in MDC 03",False,fin
03D02,"Demanding diagn proc of head, neck and central nervous system in MDC 03",False,fin
03D11,Extensive mouth radiology,False,fin
03E01,Diagnostic endoscopy of upper respiratory tract for ENMT problems,False,est/swe/lat/ice/den/fin/nor
03E02,Diagnostic tracheo-bronchoscopy for ENMT problems,False,est/swe/lat/ice/den/fin/nor
03E03,Esophagoscopy with insertion of stent for ENMT problems,False,est/swe/lat/ice/den/fin/nor
03E06,Therapeutic endoscopy of upper gastrointestinal tract for ENMT problem,False,est/swe/lat/ice/den/fin/nor
03E11,Endoscopy of oesophagus for ENMT problems,False,est/swe/lat/ice/den/fin/nor
03E20,Endoscopic procedures of mouth and throat,False,est/swe/lat/ice/den/fin/nor
03S01,Major head or neck procedure,True,est/swe/lat/ice/den/fin/nor
03S03,Tonsillectomy or adenoidectomy,False,est/swe/lat/ice/den/fin/nor
03S04,Cleft lip and palate repair,True,est/swe/lat/ice/den/fin/nor
03S05,Procedure of the mouth,False,est/swe/lat/ice/den/fin/nor
03S06,Procedure of paranasal sinus or mastoid,True,est/swe/lat/ice/den/fin/nor
03S07,Rhinoplasty,False,est/swe/lat/ice/den/fin/nor
03S08,Parotidectomy,False,est/swe/lat/ice/den/fin/nor
03S09,Salivary gland procedure except paratidectomy,False,est/swe/lat/ice/den/fin/nor
03S10,"Miscellaneous ear, nose, mouth or throat procedure",False,est/swe/lat/ice/den/fin/nor
03S11,Special tonsillar and/or adenoid procedure,False,est/swe/lat/ice/den/fin/nor
03S12,"Other ear, nose, mouth or throat OR procedure",False,est/swe/lat/ice/den/fin/nor
03S14,Procedure associated with cleft lip and palate,False,est/swe/lat/ice/den/fin/nor
03S21,Secondary correction operation for cleft lip,False,fin
03S22,Surgery of mastoid and temporal bone,True,est/swe/lat/ice/den/fin/nor
03S23,Simple correction of obstructive apnoe,False,est/swe/lat/ice/den/fin/nor
03S24,Insertion of cochlear implant,True,est/swe/lat/ice/den/fin/nor
03S40,Extensive mouth and jaw surgery,False,fin
03S41,Mouth and jaw surgery,False,fin
03S42,Extensive mouth intervention,False,fin
03S43,Mouth intervention,False,fin
03S90,"Secondary procedure for ear, nose and mouth area",False,fin
03S99,"Minor procedure in ear, nose and throat diseases",False,est/swe/lat/ice/den/fin/nor
04D21,"Diagnostic procedure of heart, large vessels and other intrathoracic organs in MDC 04",False,fin
04D22,"Demanding diagnostic procedure of heart, large vessels and other intrathoracic organs in MDC 04",False,fin
04E02,Endoscopy of respiratory tract and organs for respiratory problems,False,est/swe/lat/ice/den/fin/nor
04E11,Endoscopy of upper gastrointestinal tract for diseases of the respiratory system,False,est/swe/lat/ice/fin/nor/den
04S01,Major chest procedure,True,est/swe/lat/ice/den/fin/nor
04S02,Other respiratory system OR procedure,False,est/swe/lat/ice/den/fin/nor
04S03,Mechanical ventilation,False,swe/lat/ice/den/fin/nor
04S04,Positive airway pressure therapy,False,swe/lat/ice/den/fin/nor
05D01,"Diagnostic procedure of head, neck and central nervous system in MDC 05",False,fin
05D02,"Demanding diagnostic procedure of head, neck and central nervous system in MDC 05",False,fin
05D11,Diagnostic procedure of endocrine organs in MDC 05,False,fin
05D21,"Diagnostic procedure of heart, large vessels and other intrathoracic organs in MDC 05",False,fin
05D22,"Demanding diagnostic procedure of heart, large vessels and other intrathoracic organs in MDC 05",False,fin
05D31,"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 05",False,fin
05D61,Diagnostic procedure of peripheral vascular system in MDC 05,False,fin
05D62,Demanding diagnostic procedure of peripheral vascular system in MDC 05,False,fin
05D64,Diagnostic procedure of lymfatic system in MDC 05,False,fin
05O02,Cardioversion,False,ice/nor/fin/est/lat
05S01,Cardiac transplantation support procedures,True,est/swe/lat/ice/den/fin/nor
05S02,Cardiac valve procedure,True,est/swe/lat/ice/den/fin/nor
05S05,Cardiac catheterization,False,est/swe/lat/ice/den/fin/nor
05S06,Procedure of heart atrium and ventricles or coronary arteries,True,est/swe/lat/ice/den/fin/nor
05S07,Resection of abdominal aorta with replacement,True,est/swe/lat/ice/den/fin/nor
05S08,Resection of thoracic vessel with replacement,True,est/swe/lat/ice/den/fin/nor
05S09,Coronary bypass,True,est/swe/lat/ice/den/fin/nor
05S11,Major cardiovascular procedure,True,est/swe/lat/ice/den/fin/nor
05S12,Amputation of lower limb except toe,False,est/swe/lat/ice/den/fin/nor
05S15,Other vascular procedures,False,est/swe/lat/ice/den/fin/nor
05S16,Other percutaneous cardiovascular procedures,False,est/swe/lat/ice/den/fin/nor
05S17,Amputation upper limb or toe,False,est/swe/lat/ice/den/fin/nor
05S18,Vein ligation or stripping,False,est/swe/lat/ice/den/fin/nor
05S19,Other circulatory system OR procedures,False,est/swe/lat/ice/den/fin/nor
05S20,Percutaneous ablation for cardiac arrhytmias,False,est/swe/lat/ice/den/fin/nor
05S21,Assisting procedure in open heart surgery,False,est/swe/lat/ice/den/fin/nor
05S22,"Procedure on heart, aorta or pulmonary artery possibly with extracorporeal circulation",True,est/swe/lat/ice/den/fin/nor
05S23,Extracorporeal circulation of extremity,False,swe/fin/est/nor/ice
05S24,Biopsy of heart ventricle,False,est/swe/lat/ice/den/fin/nor
05S25,Percutaneous dilatation of coronary arteries,False,est/swe/lat/ice/den/fin/nor
05S34,Correctional procedures for vascular problems of lower extremitity,False,fin
05S35,Aortic procedures,True,est/swe/lat/ice/den/fin/nor
05S40,Implantation of cardiac defibrillator,False,est/swe/lat/ice/den/fin/nor
05S41,Implantation of pacemaker,False,est/swe/lat/ice/den/fin/nor
05S42,Revision or removal of pacemaker or defibrillator,False,est/swe/lat/ice/den/fin/nor
05S60,"Procedure on heart, blood vessels together with Cesarean section",False,est/swe/lat/ice/fin
05S80,Percutaneous heart valve implantation,False,est/swe/lat/ice/den/fin/nor
05V09,Cardiac ultrasonography,False,swe/fin
06D31,"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 06",False,fin
06D32,"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 06",False,fin
06D41,Diagnostic procedure of musculoskeletal system in MDC 06,False,fin
06D61,Diagnostic procedure of peripheral vascular system in MDC 06,False,fin
06D62,Demanding diagnostic procedure of peripheral vascular system in MDC 06,False,fin
06E03,Esophagoscopy with insertion of stent for gastrointestinal problem,False,est/swe/lat/ice/den/fin/nor
06E04,Therapeutic enteroscopy,False,est/swe/lat/ice/den/fin/nor
06E06,Therapeutic endoscopy of upper gastrointestinal tract for gastrointestinal problem,False,est/swe/lat/ice/den/fin/nor
06E07,Therapeutic rectoscopy for gastrointestinal problem,False,est/swe/lat/ice/den/fin/nor
06E08,Endoscopic treatment of hemorrhoids,False,est/swe/lat/ice/fin/nor
06E09,Enteroscopy for gastrointestinal problem,False,est/swe/lat/ice/den/fin/nor
06E10,Colonoscopy for gastrointestinal diseases,False,est/swe/lat/ice/den/fin/nor
06E11,Endoscopy of upper gastrointestinal tract for gastrointestinal problem,False,est/swe/lat/ice/den/fin/nor
06E12,Rectosigmoideoscopy for gastrointestinal problem,False,est/swe/lat/ice/den/fin/nor
06E13,Endoscopic insertion of stent to biliary tract or pancreas for gastrointestinal problem,False,est/swe/lat/ice/den/fin/nor
06E14,Other therapeutic endoscopy of biliary tract for gastrointestinal problem,False,est/swe/lat/ice/den/fin/nor
06E20,Capsular endoscopy,False,est/swe/lat/ice/den/fin/nor
06S01,"Stomach, esophagus or duodenum procedure",True,est/swe/lat/ice/den/fin/nor
06S02,Major small or large bowel procedure,True,est/swe/lat/ice/den/fin/nor
